,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",31098.31928552449
1,"(4, 0, 1, 1, 0, 1)",31100.529852534964
2,"(4, 0, 2, 1, 0, 1)",31102.88047498058
3,"(3, 0, 1, 1, 0, 1)",31108.31099153856
4,"(3, 0, 0, 1, 0, 1)",31110.872350790163
5,"(4, 0, 0, 1, 0, 1)",31112.860176301332
6,"(2, 0, 2, 1, 0, 1)",31116.356896823378
7,"(2, 0, 1, 1, 0, 1)",31119.338869710205
8,"(2, 0, 0, 1, 0, 1)",31152.175598241793
9,"(4, 0, 1, 1, 0, 0)",31972.089840197026
10,"(2, 0, 2, 1, 0, 0)",31989.14368141399
11,"(4, 0, 2, 1, 0, 0)",31993.136375185823
12,"(3, 0, 2, 1, 0, 0)",31993.179538561315
13,"(3, 0, 1, 1, 0, 0)",32021.199077734793
14,"(4, 0, 1, 0, 0, 1)",32142.93219330755
15,"(4, 0, 2, 0, 0, 1)",32150.160991009987
16,"(2, 0, 2, 0, 0, 1)",32158.54218469159
17,"(3, 0, 2, 0, 0, 1)",32159.30649162688
18,"(3, 0, 1, 0, 0, 1)",32195.334108747807
19,"(4, 0, 0, 1, 0, 0)",32290.05939320726
20,"(3, 0, 0, 1, 0, 0)",32319.589999534594
21,"(2, 0, 1, 1, 0, 0)",32428.41217217719
22,"(2, 0, 0, 1, 0, 0)",32480.013550638952
23,"(4, 0, 0, 0, 0, 1)",32513.715907788282
24,"(4, 0, 2, 0, 0, 0)",32527.262198463413
25,"(4, 0, 1, 0, 0, 0)",32531.886441558945
26,"(2, 0, 2, 0, 0, 0)",32554.27482057769
27,"(3, 0, 2, 0, 0, 0)",32556.212965059065
28,"(3, 0, 0, 0, 0, 1)",32567.815516866223
29,"(3, 0, 1, 0, 0, 0)",32595.307465556783
30,"(2, 0, 1, 0, 0, 1)",32738.39370787664
31,"(2, 0, 0, 0, 0, 1)",32793.26363599338
32,"(4, 0, 0, 0, 0, 0)",32954.51541255998
33,"(3, 0, 0, 0, 0, 0)",33040.246043737105
34,"(2, 0, 1, 0, 0, 0)",33274.5026565871
35,"(2, 0, 0, 0, 0, 0)",33332.16738314825
