,parameters,aic
0,"(4, 0, 2, 1, 0, 1)",30740.497802715337
1,"(3, 0, 2, 1, 0, 1)",30745.86244292358
2,"(4, 0, 1, 1, 0, 1)",30752.025971221545
3,"(3, 0, 0, 1, 0, 1)",30753.30087295335
4,"(2, 0, 2, 1, 0, 1)",30754.239445579955
5,"(4, 0, 0, 1, 0, 1)",30754.41193771964
6,"(2, 0, 0, 1, 0, 1)",30754.925320405982
7,"(2, 0, 1, 1, 0, 1)",30757.95814250738
8,"(3, 0, 1, 1, 0, 1)",30759.20034688395
9,"(2, 0, 2, 1, 0, 0)",31408.756329795197
10,"(2, 0, 1, 1, 0, 0)",31410.960623709783
11,"(3, 0, 1, 1, 0, 0)",31415.120397524
12,"(4, 0, 2, 1, 0, 0)",31418.127916926802
13,"(3, 0, 2, 1, 0, 0)",31422.10309701872
14,"(4, 0, 1, 1, 0, 0)",31430.323475110697
15,"(2, 0, 2, 0, 0, 1)",31458.899717326058
16,"(4, 0, 1, 0, 0, 1)",31459.144664595166
17,"(3, 0, 1, 0, 0, 1)",31459.908022890333
18,"(2, 0, 1, 0, 0, 1)",31460.531961116514
19,"(4, 0, 2, 0, 0, 1)",31464.05737386757
20,"(3, 0, 2, 0, 0, 1)",31465.13572208889
21,"(4, 0, 1, 0, 0, 0)",31614.922791836998
22,"(2, 0, 2, 0, 0, 0)",31621.65436285397
23,"(2, 0, 1, 0, 0, 0)",31622.061996814267
24,"(3, 0, 1, 0, 0, 0)",31622.228468365538
25,"(4, 0, 2, 0, 0, 0)",31625.622782868217
26,"(3, 0, 2, 0, 0, 0)",31626.09706846995
27,"(4, 0, 0, 1, 0, 0)",31836.822289132415
28,"(3, 0, 0, 1, 0, 0)",31853.158617276367
29,"(2, 0, 0, 1, 0, 0)",31886.28139692201
30,"(4, 0, 0, 0, 0, 1)",31895.45739468849
31,"(3, 0, 0, 0, 0, 1)",31912.962537023355
32,"(2, 0, 0, 0, 0, 1)",31938.78023679422
33,"(4, 0, 0, 0, 0, 0)",32060.8793335682
34,"(3, 0, 0, 0, 0, 0)",32080.923341296886
35,"(2, 0, 0, 0, 0, 0)",32092.231740440602
