,parameters,aic
0,"(2, 0, 0, 1, 0, 1)",29472.772953002706
1,"(3, 0, 0, 1, 0, 1)",29473.546447564793
2,"(2, 0, 1, 1, 0, 1)",29473.594324851903
3,"(4, 0, 0, 1, 0, 1)",29475.520320685046
4,"(2, 0, 2, 1, 0, 1)",29475.606775414413
5,"(3, 0, 1, 1, 0, 1)",29475.7230094582
6,"(4, 0, 2, 1, 0, 1)",29476.9724816024
7,"(3, 0, 2, 1, 0, 1)",29477.078183527097
8,"(4, 0, 1, 1, 0, 1)",29477.524741123278
9,"(3, 0, 1, 1, 0, 0)",30051.917728746328
10,"(4, 0, 1, 1, 0, 0)",30068.68509474064
11,"(4, 0, 2, 1, 0, 0)",30090.348457835305
12,"(4, 0, 1, 0, 0, 1)",30110.640661748675
13,"(3, 0, 1, 0, 0, 1)",30111.66363333047
14,"(4, 0, 2, 0, 0, 1)",30113.789533033632
15,"(2, 0, 2, 0, 0, 1)",30125.65373941821
16,"(3, 0, 2, 0, 0, 1)",30130.6450343209
17,"(4, 0, 1, 0, 0, 0)",30284.101659176973
18,"(3, 0, 1, 0, 0, 0)",30284.13834841892
19,"(4, 0, 2, 0, 0, 0)",30285.968620357668
20,"(4, 0, 0, 1, 0, 0)",30371.9630015393
21,"(3, 0, 2, 1, 0, 0)",30373.627700903326
22,"(3, 0, 0, 1, 0, 0)",30378.009825998808
23,"(2, 0, 2, 1, 0, 0)",30378.646863563023
24,"(2, 0, 1, 1, 0, 0)",30382.877120877452
25,"(2, 0, 0, 1, 0, 0)",30389.196747687423
26,"(4, 0, 0, 0, 0, 1)",30440.68454357401
27,"(3, 0, 0, 0, 0, 1)",30445.60090263222
28,"(2, 0, 1, 0, 0, 1)",30449.2221615613
29,"(2, 0, 0, 0, 0, 1)",30454.737357434642
30,"(4, 0, 0, 0, 0, 0)",30632.621361636964
31,"(3, 0, 0, 0, 0, 0)",30635.664455099046
32,"(2, 0, 1, 0, 0, 0)",30637.6094439477
33,"(2, 0, 2, 0, 0, 0)",30638.36220980907
34,"(3, 0, 2, 0, 0, 0)",30640.125603794255
35,"(2, 0, 0, 0, 0, 0)",30641.44667901003
