,parameters,aic
0,"(4, 0, 1, 1, 0, 1)",30074.781100290416
1,"(3, 0, 0, 1, 0, 1)",30077.600072400084
2,"(4, 0, 0, 1, 0, 1)",30077.761049389843
3,"(3, 0, 1, 1, 0, 1)",30078.83997428705
4,"(2, 0, 1, 1, 0, 1)",30079.35465743955
5,"(4, 0, 2, 1, 0, 1)",30082.79021013469
6,"(3, 0, 2, 1, 0, 1)",30083.552241026835
7,"(2, 0, 2, 1, 0, 1)",30086.070111004305
8,"(2, 0, 0, 1, 0, 1)",30092.600782750407
9,"(3, 0, 1, 1, 0, 0)",31025.93959934341
10,"(4, 0, 2, 1, 0, 0)",31028.67084046191
11,"(2, 0, 2, 1, 0, 0)",31032.679647482877
12,"(4, 0, 1, 1, 0, 0)",31036.126580640983
13,"(3, 0, 2, 1, 0, 0)",31050.212629920505
14,"(3, 0, 1, 0, 0, 1)",31170.895418966884
15,"(4, 0, 1, 0, 0, 1)",31173.150676312685
16,"(4, 0, 2, 0, 0, 1)",31175.201562190887
17,"(2, 0, 2, 0, 0, 1)",31191.967616134294
18,"(3, 0, 2, 0, 0, 1)",31211.78299372618
19,"(4, 0, 0, 1, 0, 0)",31401.26956807894
20,"(3, 0, 0, 1, 0, 0)",31411.490911502948
21,"(2, 0, 1, 1, 0, 0)",31434.103956293813
22,"(2, 0, 0, 1, 0, 0)",31458.323214865566
23,"(4, 0, 2, 0, 0, 0)",31535.935797611568
24,"(3, 0, 1, 0, 0, 0)",31538.66862214412
25,"(4, 0, 1, 0, 0, 0)",31539.664831137008
26,"(2, 0, 2, 0, 0, 0)",31575.989146733333
27,"(4, 0, 0, 0, 0, 1)",31639.403584019834
28,"(3, 0, 0, 0, 0, 1)",31657.92077664052
29,"(2, 0, 1, 0, 0, 1)",31681.60781242973
30,"(2, 0, 0, 0, 0, 1)",31713.1605983508
31,"(4, 0, 0, 0, 0, 0)",32104.662484346176
32,"(3, 0, 0, 0, 0, 0)",32126.677341774088
33,"(2, 0, 1, 0, 0, 0)",32144.641778310226
34,"(3, 0, 2, 0, 0, 0)",32148.592068141228
35,"(2, 0, 0, 0, 0, 0)",32188.92766861292
