,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",34734.89422172541
1,"(4, 0, 0, 1, 0, 1)",34736.919519290364
2,"(3, 0, 0, 1, 0, 1)",34737.22931775993
3,"(4, 0, 1, 1, 0, 1)",34738.49734061334
4,"(3, 0, 1, 1, 0, 1)",34739.286223690564
5,"(4, 0, 2, 1, 0, 1)",34740.59087776127
6,"(2, 0, 1, 1, 0, 1)",34742.906539123265
7,"(2, 0, 2, 1, 0, 1)",34747.53121424844
8,"(2, 0, 0, 1, 0, 1)",34752.67106872034
9,"(2, 0, 2, 1, 0, 0)",35775.1305734858
10,"(4, 0, 2, 1, 0, 0)",35776.252239026115
11,"(4, 0, 1, 1, 0, 0)",35777.088161729844
12,"(3, 0, 1, 1, 0, 0)",35780.876238149605
13,"(3, 0, 2, 1, 0, 0)",35782.28057441628
14,"(4, 0, 2, 0, 0, 1)",35971.74691945496
15,"(3, 0, 2, 0, 0, 1)",35985.066345838415
16,"(4, 0, 1, 0, 0, 1)",35996.04336955597
17,"(4, 0, 0, 1, 0, 0)",36119.43950904824
18,"(3, 0, 0, 1, 0, 0)",36133.67152447327
19,"(2, 0, 1, 1, 0, 0)",36238.52510187224
20,"(2, 0, 0, 1, 0, 0)",36240.235830506135
21,"(2, 0, 2, 0, 0, 1)",36320.05127240529
22,"(3, 0, 1, 0, 0, 1)",36321.886261558975
23,"(4, 0, 0, 0, 0, 1)",36328.09284144408
24,"(3, 0, 0, 0, 0, 1)",36341.06304525177
25,"(2, 0, 1, 0, 0, 1)",36441.006565136864
26,"(2, 0, 0, 0, 0, 1)",36444.558667490994
27,"(3, 0, 1, 0, 0, 0)",36757.21669035081
28,"(4, 0, 0, 0, 0, 0)",36758.30085539448
29,"(3, 0, 2, 0, 0, 0)",36758.853980171836
30,"(4, 0, 1, 0, 0, 0)",36759.10625064531
31,"(2, 0, 2, 0, 0, 0)",36759.47943473868
32,"(4, 0, 2, 0, 0, 0)",36760.99338353241
33,"(3, 0, 0, 0, 0, 0)",36765.22582385375
34,"(2, 0, 1, 0, 0, 0)",36838.01191654899
35,"(2, 0, 0, 0, 0, 0)",36855.90735263779
