,parameters,aic
0,"(4, 0, 2, 1, 0, 1)",28886.089389048142
1,"(2, 0, 2, 1, 0, 1)",28888.68612532948
2,"(3, 0, 2, 1, 0, 1)",28888.877884124537
3,"(4, 0, 0, 1, 0, 1)",28895.657392833302
4,"(4, 0, 1, 1, 0, 1)",28897.0061128493
5,"(3, 0, 1, 1, 0, 1)",28897.0205950101
6,"(3, 0, 0, 1, 0, 1)",28897.5803828214
7,"(2, 0, 1, 1, 0, 1)",28907.438094460013
8,"(2, 0, 0, 1, 0, 1)",28914.232397953943
9,"(4, 0, 1, 1, 0, 0)",29540.37500747113
10,"(2, 0, 2, 1, 0, 0)",29548.449498355614
11,"(4, 0, 2, 1, 0, 0)",29556.99033924463
12,"(3, 0, 1, 1, 0, 0)",29557.133828474405
13,"(3, 0, 2, 1, 0, 0)",29573.264801680747
14,"(4, 0, 1, 0, 0, 1)",29681.145248368313
15,"(2, 0, 2, 0, 0, 1)",29693.045688232625
16,"(3, 0, 1, 0, 0, 1)",29698.35538437209
17,"(4, 0, 2, 0, 0, 1)",29701.418756526422
18,"(3, 0, 2, 0, 0, 1)",29723.4958240078
19,"(4, 0, 0, 1, 0, 0)",29894.307635897632
20,"(3, 0, 0, 1, 0, 0)",29950.485971943122
21,"(4, 0, 1, 0, 0, 0)",30042.38537831972
22,"(2, 0, 1, 1, 0, 0)",30042.711623316478
23,"(3, 0, 2, 0, 0, 0)",30059.88116058369
24,"(4, 0, 0, 0, 0, 1)",30060.900177580945
25,"(2, 0, 2, 0, 0, 0)",30063.340296842347
26,"(2, 0, 0, 1, 0, 0)",30063.87987566261
27,"(3, 0, 1, 0, 0, 0)",30071.93115404505
28,"(4, 0, 2, 0, 0, 0)",30076.284286796195
29,"(3, 0, 0, 0, 0, 1)",30122.1734946859
30,"(2, 0, 1, 0, 0, 1)",30253.054366810593
31,"(2, 0, 0, 0, 0, 1)",30264.40004380461
32,"(4, 0, 0, 0, 0, 0)",30438.482793714513
33,"(3, 0, 0, 0, 0, 0)",30497.24223156235
34,"(2, 0, 1, 0, 0, 0)",30664.727486891414
35,"(2, 0, 0, 0, 0, 0)",30675.154096191563
