,parameters,aic
0,"(4, 0, 0, 1, 0, 1)",29710.664273098555
1,"(4, 0, 1, 1, 0, 1)",29712.189102030385
2,"(2, 0, 0, 1, 0, 1)",29712.810797609724
3,"(3, 0, 1, 1, 0, 1)",29713.630220463867
4,"(2, 0, 1, 1, 0, 1)",29713.837147509206
5,"(3, 0, 0, 1, 0, 1)",29713.909750298906
6,"(4, 0, 2, 1, 0, 1)",29721.48378785921
7,"(2, 0, 2, 1, 0, 1)",29725.03424058551
8,"(3, 0, 2, 1, 0, 1)",29730.150295326755
9,"(3, 0, 2, 1, 0, 0)",30726.470595375296
10,"(3, 0, 2, 0, 0, 1)",30899.568207573193
11,"(2, 0, 0, 1, 0, 0)",31178.381258396214
12,"(2, 0, 1, 1, 0, 0)",31180.325839305868
13,"(3, 0, 0, 1, 0, 0)",31180.33532380629
14,"(4, 0, 0, 1, 0, 0)",31181.084364389277
15,"(2, 0, 2, 1, 0, 0)",31181.360293321475
16,"(3, 0, 1, 1, 0, 0)",31182.24859360107
17,"(4, 0, 1, 1, 0, 0)",31183.049531435554
18,"(4, 0, 2, 1, 0, 0)",31184.261044643066
19,"(3, 0, 2, 0, 0, 0)",31310.24395130585
20,"(2, 0, 2, 0, 0, 1)",31507.234490787523
21,"(4, 0, 0, 0, 0, 1)",31508.244718426813
22,"(4, 0, 1, 0, 0, 1)",31508.316819445885
23,"(3, 0, 1, 0, 0, 1)",31508.89634066801
24,"(2, 0, 1, 0, 0, 1)",31509.486125579646
25,"(2, 0, 0, 0, 0, 1)",31509.924197061493
26,"(3, 0, 0, 0, 0, 1)",31509.998773737152
27,"(4, 0, 2, 0, 0, 1)",31514.518863773275
28,"(4, 0, 2, 0, 0, 0)",32028.831345995375
29,"(2, 0, 2, 0, 0, 0)",32041.611950498464
30,"(4, 0, 1, 0, 0, 0)",32042.113596452407
31,"(4, 0, 0, 0, 0, 0)",32043.68724568107
32,"(2, 0, 0, 0, 0, 0)",32047.011844581535
33,"(2, 0, 1, 0, 0, 0)",32047.63895928427
34,"(3, 0, 0, 0, 0, 0)",32047.911943633484
35,"(3, 0, 1, 0, 0, 0)",32050.928480178856
