,parameters,aic
0,"(2, 0, 1, 1, 0, 1)",23554.397296720283
1,"(3, 0, 2, 1, 0, 1)",23555.926327658064
2,"(3, 0, 0, 1, 0, 1)",23557.10051591402
3,"(4, 0, 0, 1, 0, 1)",23557.836859259005
4,"(4, 0, 1, 1, 0, 1)",23561.83030671064
5,"(2, 0, 2, 1, 0, 1)",23566.074986593252
6,"(3, 0, 1, 1, 0, 1)",23567.217836565964
7,"(4, 0, 2, 1, 0, 1)",23580.31890762443
8,"(2, 0, 0, 1, 0, 1)",23583.81641603292
9,"(2, 0, 2, 1, 0, 0)",24859.793649153366
10,"(3, 0, 1, 1, 0, 0)",24860.071056071294
11,"(4, 0, 1, 1, 0, 0)",24861.58351650354
12,"(2, 0, 1, 1, 0, 0)",24861.598818812392
13,"(3, 0, 2, 1, 0, 0)",24861.718623355937
14,"(4, 0, 0, 1, 0, 0)",24862.206511367865
15,"(4, 0, 2, 1, 0, 0)",24863.77028657796
16,"(3, 0, 0, 1, 0, 0)",24863.8555265006
17,"(2, 0, 0, 1, 0, 0)",24900.02001195648
18,"(2, 0, 1, 0, 0, 1)",24939.42419773703
19,"(3, 0, 1, 0, 0, 1)",24941.054672310136
20,"(2, 0, 2, 0, 0, 1)",24941.063502130495
21,"(4, 0, 0, 0, 0, 1)",24942.218012582696
22,"(4, 0, 1, 0, 0, 1)",24943.032905656415
23,"(3, 0, 2, 0, 0, 1)",24943.04802062388
24,"(4, 0, 2, 0, 0, 1)",24945.039287321797
25,"(3, 0, 0, 0, 0, 1)",24949.221175634622
26,"(2, 0, 0, 0, 0, 1)",24976.0917431177
27,"(4, 0, 1, 0, 0, 0)",25100.388658771673
28,"(4, 0, 2, 0, 0, 0)",25102.61624370161
29,"(4, 0, 0, 0, 0, 0)",25103.4807929514
30,"(3, 0, 2, 0, 0, 0)",25103.645127136908
31,"(2, 0, 1, 0, 0, 0)",25105.144787912748
32,"(3, 0, 1, 0, 0, 0)",25105.99392188456
33,"(2, 0, 2, 0, 0, 0)",25106.163443097405
34,"(3, 0, 0, 0, 0, 0)",25120.773728457418
35,"(2, 0, 0, 0, 0, 0)",25139.479817446983
