,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",21212.15202375675
1,"(4, 0, 0, 1, 0, 1)",21212.74791474679
2,"(3, 0, 2, 1, 0, 1)",21214.04824945122
3,"(2, 0, 1, 1, 0, 1)",21217.68139550055
4,"(4, 0, 1, 1, 0, 1)",21217.85412957119
5,"(2, 0, 0, 1, 0, 1)",21220.25398340238
6,"(4, 0, 2, 1, 0, 1)",21222.518105403575
7,"(3, 0, 1, 1, 0, 1)",21222.748895263558
8,"(2, 0, 2, 1, 0, 1)",21223.27680172514
9,"(4, 0, 1, 1, 0, 0)",22456.84588559707
10,"(4, 0, 0, 1, 0, 0)",22461.07382952898
11,"(2, 0, 1, 1, 0, 0)",22461.396520054564
12,"(2, 0, 0, 1, 0, 0)",22461.649474930524
13,"(3, 0, 0, 1, 0, 0)",22461.762744797456
14,"(2, 0, 2, 1, 0, 0)",22462.415959567665
15,"(3, 0, 1, 1, 0, 0)",22463.355065992666
16,"(3, 0, 2, 1, 0, 0)",22464.156695833655
17,"(4, 0, 2, 1, 0, 0)",22464.182890596716
18,"(4, 0, 1, 0, 0, 1)",22546.94395341054
19,"(4, 0, 2, 0, 0, 1)",22547.187544551958
20,"(4, 0, 0, 0, 0, 1)",22556.274240308303
21,"(3, 0, 2, 0, 0, 1)",22557.96416874783
22,"(2, 0, 0, 0, 0, 1)",22561.61872447264
23,"(2, 0, 1, 0, 0, 1)",22563.519339458267
24,"(3, 0, 0, 0, 0, 1)",22563.557399023455
25,"(3, 0, 1, 0, 0, 1)",22565.11710086074
26,"(2, 0, 2, 0, 0, 1)",22567.407280466603
27,"(4, 0, 1, 0, 0, 0)",22742.335294395158
28,"(3, 0, 2, 0, 0, 0)",22757.60502682479
29,"(4, 0, 0, 0, 0, 0)",22758.429149472373
30,"(2, 0, 2, 0, 0, 0)",22759.96548190916
31,"(2, 0, 1, 0, 0, 0)",22779.283198553014
32,"(2, 0, 0, 0, 0, 0)",22780.335155234236
33,"(3, 0, 0, 0, 0, 0)",22781.156967480434
34,"(4, 0, 2, 0, 0, 0)",22784.161483422085
35,"(3, 0, 1, 0, 0, 0)",22784.332749892594
