,parameters,aic
0,"(3, 0, 1, 1, 0, 1)",31629.883399243125
1,"(4, 0, 2, 1, 0, 1)",31630.107800439302
2,"(4, 0, 1, 1, 0, 1)",31631.2312599001
3,"(3, 0, 2, 1, 0, 1)",31631.62356675892
4,"(2, 0, 1, 1, 0, 1)",31636.373066770735
5,"(4, 0, 0, 1, 0, 1)",31656.259524722045
6,"(2, 0, 2, 1, 0, 1)",31657.41731965789
7,"(3, 0, 0, 1, 0, 1)",31661.11201013336
8,"(2, 0, 0, 1, 0, 1)",31678.928021762367
9,"(2, 0, 2, 1, 0, 0)",32650.330068381747
10,"(4, 0, 1, 1, 0, 0)",32778.92292764805
11,"(3, 0, 1, 1, 0, 0)",32800.87306952952
12,"(3, 0, 2, 1, 0, 0)",32802.758896989006
13,"(4, 0, 2, 1, 0, 0)",32804.872369656405
14,"(2, 0, 1, 1, 0, 0)",32805.314833267505
15,"(3, 0, 0, 1, 0, 0)",32829.99690521288
16,"(4, 0, 0, 1, 0, 0)",32830.01917151905
17,"(2, 0, 0, 1, 0, 0)",32860.05366328106
18,"(2, 0, 2, 0, 0, 1)",33012.08367716092
19,"(4, 0, 2, 0, 0, 1)",33224.67861435641
20,"(4, 0, 1, 0, 0, 1)",33226.136448738966
21,"(3, 0, 1, 0, 0, 1)",33227.7734703466
22,"(3, 0, 2, 0, 0, 1)",33229.202208924646
23,"(2, 0, 1, 0, 0, 1)",33241.76111887514
24,"(3, 0, 0, 0, 0, 1)",33261.655936943105
25,"(4, 0, 0, 0, 0, 1)",33263.41149464214
26,"(2, 0, 0, 0, 0, 1)",33303.73662803408
27,"(2, 0, 2, 0, 0, 0)",33634.24615028378
28,"(4, 0, 2, 0, 0, 0)",33865.298497581076
29,"(4, 0, 1, 0, 0, 0)",33871.366262808166
30,"(3, 0, 2, 0, 0, 0)",33875.34280935818
31,"(3, 0, 1, 0, 0, 0)",33875.95261772684
32,"(2, 0, 1, 0, 0, 0)",33900.084938124215
33,"(3, 0, 0, 0, 0, 0)",33904.91738552657
34,"(4, 0, 0, 0, 0, 0)",33906.094742222966
35,"(2, 0, 0, 0, 0, 0)",33968.41830835873
