,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",27692.06268544536
1,"(3, 0, 0, 1, 0, 1)",27695.420024358562
2,"(4, 0, 0, 1, 0, 1)",27697.116662808727
3,"(4, 0, 1, 1, 0, 1)",27698.611466827908
4,"(2, 0, 2, 1, 0, 1)",27698.61699158932
5,"(2, 0, 1, 1, 0, 1)",27702.558247702964
6,"(4, 0, 2, 1, 0, 1)",27704.04972497393
7,"(3, 0, 1, 1, 0, 1)",27706.681636057798
8,"(2, 0, 0, 1, 0, 1)",27716.13907680465
9,"(2, 0, 2, 1, 0, 0)",28381.47695531351
10,"(3, 0, 1, 1, 0, 0)",28388.280912781433
11,"(4, 0, 2, 1, 0, 0)",28390.583528431165
12,"(4, 0, 1, 1, 0, 0)",28397.505950064973
13,"(2, 0, 2, 0, 0, 1)",28425.33908704553
14,"(4, 0, 1, 0, 0, 1)",28430.554962859158
15,"(3, 0, 1, 0, 0, 1)",28431.726318474593
16,"(3, 0, 2, 1, 0, 0)",28432.351468925986
17,"(4, 0, 2, 0, 0, 1)",28436.254584733353
18,"(3, 0, 2, 0, 0, 1)",28482.599542114338
19,"(3, 0, 2, 0, 0, 0)",28560.99565889979
20,"(2, 0, 2, 0, 0, 0)",28565.68052293227
21,"(4, 0, 1, 0, 0, 0)",28568.661810306647
22,"(4, 0, 2, 0, 0, 0)",28598.786933314273
23,"(4, 0, 0, 1, 0, 0)",28748.999625333912
24,"(3, 0, 0, 1, 0, 0)",28762.531533224883
25,"(4, 0, 0, 0, 0, 1)",28803.092477971495
26,"(3, 0, 0, 0, 0, 1)",28813.301414310125
27,"(2, 0, 1, 1, 0, 0)",28846.32369335578
28,"(2, 0, 0, 1, 0, 0)",28860.582367728024
29,"(2, 0, 1, 0, 0, 1)",28894.233620147355
30,"(2, 0, 0, 0, 0, 1)",28911.330455872783
31,"(3, 0, 1, 0, 0, 0)",28951.11428875388
32,"(4, 0, 0, 0, 0, 0)",28954.151756820513
33,"(3, 0, 0, 0, 0, 0)",28958.567164195087
34,"(2, 0, 1, 0, 0, 0)",29031.735797612648
35,"(2, 0, 0, 0, 0, 0)",29056.678364776646
