,parameters,aic
0,"(4, 0, 2, 1, 0, 0)",16.0
1,"(2, 0, 1, 1, 0, 1)",25564.730059122703
2,"(3, 0, 0, 1, 0, 1)",25565.652018296598
3,"(4, 0, 0, 1, 0, 1)",25566.4485911154
4,"(4, 0, 1, 1, 0, 1)",25567.34154046029
5,"(2, 0, 0, 1, 0, 1)",25569.599404142104
6,"(2, 0, 2, 1, 0, 1)",25570.886315586547
7,"(3, 0, 2, 1, 0, 1)",25570.89464934955
8,"(3, 0, 1, 1, 0, 1)",25574.132868449386
9,"(4, 0, 2, 1, 0, 1)",25578.104786086013
10,"(3, 0, 2, 1, 0, 0)",26587.784765285534
11,"(3, 0, 2, 0, 0, 1)",26639.00326366021
12,"(2, 0, 2, 1, 0, 0)",26668.47717157496
13,"(4, 0, 1, 1, 0, 0)",26736.957753418195
14,"(3, 0, 0, 1, 0, 0)",27005.901885438016
15,"(3, 0, 1, 1, 0, 0)",27006.49415962
16,"(4, 0, 0, 1, 0, 0)",27006.96300656109
17,"(2, 0, 1, 1, 0, 0)",27023.584738086618
18,"(2, 0, 0, 1, 0, 0)",27041.897573760285
19,"(3, 0, 0, 0, 0, 1)",27184.23769488149
20,"(3, 0, 1, 0, 0, 1)",27186.236733364614
21,"(4, 0, 0, 0, 0, 1)",27186.236887297535
22,"(2, 0, 2, 0, 0, 1)",27186.29588310781
23,"(4, 0, 1, 0, 0, 1)",27188.21187912649
24,"(4, 0, 2, 0, 0, 1)",27189.89030095571
25,"(2, 0, 1, 0, 0, 1)",27192.887363671645
26,"(2, 0, 0, 0, 0, 1)",27214.387622039267
27,"(3, 0, 0, 0, 0, 0)",27537.66276500336
28,"(2, 0, 1, 0, 0, 0)",27537.7171702472
29,"(4, 0, 0, 0, 0, 0)",27538.789637801423
30,"(3, 0, 1, 0, 0, 0)",27538.82588526543
31,"(2, 0, 2, 0, 0, 0)",27538.85640385135
32,"(4, 0, 1, 0, 0, 0)",27540.70380845812
33,"(3, 0, 2, 0, 0, 0)",27541.385588329238
34,"(4, 0, 2, 0, 0, 0)",27542.646652449934
35,"(2, 0, 0, 0, 0, 0)",27555.760657204082
