,parameters,aic
0,"(4, 0, 0, 1, 0, 1)",24674.00152014438
1,"(3, 0, 0, 1, 0, 1)",24674.633464639057
2,"(3, 0, 1, 1, 0, 1)",24674.968058694612
3,"(4, 0, 1, 1, 0, 1)",24677.688250044957
4,"(2, 0, 2, 1, 0, 1)",24678.264078105465
5,"(4, 0, 2, 1, 0, 1)",24679.976850957748
6,"(3, 0, 2, 1, 0, 1)",24680.71454441454
7,"(2, 0, 1, 1, 0, 1)",24683.628863970196
8,"(2, 0, 0, 1, 0, 1)",24701.61799366284
9,"(2, 0, 2, 1, 0, 0)",24971.12948881832
10,"(3, 0, 2, 1, 0, 0)",24981.69685967241
11,"(3, 0, 1, 1, 0, 0)",24981.786454696783
12,"(2, 0, 2, 0, 0, 1)",24982.182511197912
13,"(4, 0, 1, 1, 0, 0)",24983.894249073026
14,"(3, 0, 2, 0, 0, 1)",24986.814242695495
15,"(4, 0, 2, 0, 0, 1)",24988.118232558067
16,"(4, 0, 2, 1, 0, 0)",24988.24485736972
17,"(4, 0, 1, 0, 0, 1)",24988.369146483616
18,"(3, 0, 1, 0, 0, 1)",24990.432740408734
19,"(2, 0, 2, 0, 0, 0)",25052.06312237784
20,"(3, 0, 2, 0, 0, 0)",25052.199912624677
21,"(4, 0, 2, 0, 0, 0)",25054.176207378536
22,"(3, 0, 1, 0, 0, 0)",25056.153059407694
23,"(4, 0, 1, 0, 0, 0)",25058.47681139514
24,"(4, 0, 0, 1, 0, 0)",25279.490421882012
25,"(3, 0, 0, 1, 0, 0)",25289.683653286014
26,"(4, 0, 0, 0, 0, 1)",25297.706494650225
27,"(3, 0, 0, 0, 0, 1)",25307.547921662488
28,"(2, 0, 1, 1, 0, 0)",25321.1636656226
29,"(2, 0, 1, 0, 0, 1)",25337.892737270482
30,"(2, 0, 0, 1, 0, 0)",25355.098062305344
31,"(2, 0, 0, 0, 0, 1)",25371.70014641277
32,"(4, 0, 0, 0, 0, 0)",25384.668773414338
33,"(3, 0, 0, 0, 0, 0)",25394.137598286798
34,"(2, 0, 1, 0, 0, 0)",25421.27642500074
35,"(2, 0, 0, 0, 0, 0)",25454.504839020425
