,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",26696.649816723613
1,"(2, 0, 2, 1, 0, 1)",26699.681254126222
2,"(4, 0, 0, 1, 0, 1)",26700.46636345521
3,"(3, 0, 0, 1, 0, 1)",26700.502944640815
4,"(4, 0, 1, 1, 0, 1)",26702.32008853388
5,"(2, 0, 1, 1, 0, 1)",26718.51363148993
6,"(3, 0, 1, 1, 0, 1)",26718.820905866804
7,"(4, 0, 2, 1, 0, 1)",26727.410789801368
8,"(2, 0, 0, 1, 0, 1)",26747.245218092845
9,"(4, 0, 1, 1, 0, 0)",27019.750701875404
10,"(3, 0, 2, 1, 0, 0)",27032.903113522054
11,"(2, 0, 2, 1, 0, 0)",27036.857516377142
12,"(4, 0, 1, 0, 0, 1)",27041.43479570613
13,"(3, 0, 2, 0, 0, 1)",27053.783437501133
14,"(2, 0, 2, 0, 0, 1)",27058.37766666846
15,"(3, 0, 1, 1, 0, 0)",27059.401821341904
16,"(4, 0, 2, 1, 0, 0)",27063.036129227217
17,"(3, 0, 1, 0, 0, 1)",27081.143824133513
18,"(4, 0, 2, 0, 0, 1)",27085.494556974045
19,"(4, 0, 1, 0, 0, 0)",27142.260034909697
20,"(3, 0, 2, 0, 0, 0)",27156.194614820888
21,"(2, 0, 2, 0, 0, 0)",27159.80597152875
22,"(3, 0, 1, 0, 0, 0)",27184.097354679907
23,"(4, 0, 2, 0, 0, 0)",27187.803197884296
24,"(4, 0, 0, 1, 0, 0)",27378.758005620923
25,"(4, 0, 0, 0, 0, 1)",27412.31035796472
26,"(3, 0, 0, 1, 0, 0)",27421.00965504319
27,"(3, 0, 0, 0, 0, 1)",27459.1983791429
28,"(4, 0, 0, 0, 0, 0)",27533.041469136
29,"(2, 0, 1, 1, 0, 0)",27553.68408874856
30,"(3, 0, 0, 0, 0, 0)",27589.63464266251
31,"(2, 0, 0, 1, 0, 0)",27595.091871426237
32,"(2, 0, 1, 0, 0, 1)",27603.177129916578
33,"(2, 0, 0, 0, 0, 1)",27644.29329898925
34,"(2, 0, 1, 0, 0, 0)",27754.124338068337
35,"(2, 0, 0, 0, 0, 0)",27796.556626965503
