,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",31817.257541994786
1,"(3, 0, 0, 1, 0, 1)",31825.191879118003
2,"(4, 0, 0, 1, 0, 1)",31826.3838908013
3,"(2, 0, 1, 1, 0, 1)",31827.00072499646
4,"(4, 0, 2, 1, 0, 1)",31827.516291405704
5,"(3, 0, 2, 1, 0, 1)",31828.739750935263
6,"(4, 0, 1, 1, 0, 1)",31829.164810611946
7,"(2, 0, 0, 1, 0, 1)",31835.102442507534
8,"(3, 0, 1, 1, 0, 1)",31836.577763403344
9,"(2, 0, 2, 1, 0, 0)",32421.38386431711
10,"(3, 0, 1, 1, 0, 0)",32422.88010204883
11,"(4, 0, 2, 1, 0, 0)",32427.863810372186
12,"(4, 0, 1, 1, 0, 0)",32465.05993001867
13,"(4, 0, 2, 0, 0, 1)",32467.351552994904
14,"(2, 0, 2, 0, 0, 1)",32472.520471169053
15,"(3, 0, 1, 0, 0, 1)",32473.591967589455
16,"(4, 0, 1, 0, 0, 1)",32480.45871775988
17,"(3, 0, 2, 0, 0, 1)",32487.273407748104
18,"(4, 0, 2, 0, 0, 0)",32626.542139669134
19,"(3, 0, 1, 0, 0, 0)",32639.94934593466
20,"(4, 0, 1, 0, 0, 0)",32643.981052572653
21,"(2, 0, 2, 0, 0, 0)",32644.56235197879
22,"(3, 0, 2, 0, 0, 0)",32768.359395993306
23,"(3, 0, 2, 1, 0, 0)",32834.88609117559
24,"(4, 0, 0, 1, 0, 0)",32909.38952791796
25,"(3, 0, 0, 1, 0, 0)",32928.78116379615
26,"(4, 0, 0, 0, 0, 1)",32978.11087803859
27,"(2, 0, 1, 1, 0, 0)",32987.169401452426
28,"(2, 0, 0, 1, 0, 0)",32988.883413612006
29,"(3, 0, 0, 0, 0, 1)",32994.59527887494
30,"(2, 0, 1, 0, 0, 1)",33043.18548403468
31,"(2, 0, 0, 0, 0, 1)",33048.18969944877
32,"(4, 0, 0, 0, 0, 0)",33170.80809639099
33,"(3, 0, 0, 0, 0, 0)",33180.55172834163
34,"(2, 0, 1, 0, 0, 0)",33213.5299878679
35,"(2, 0, 0, 0, 0, 0)",33224.79152395906
