,parameters,aic
0,"(2, 0, 1, 1, 0, 1)",25861.513390913406
1,"(3, 0, 0, 1, 0, 1)",25861.637574766028
2,"(4, 0, 0, 1, 0, 1)",25863.466094838837
3,"(3, 0, 1, 1, 0, 1)",25863.492288897498
4,"(2, 0, 2, 1, 0, 1)",25863.64994292594
5,"(2, 0, 0, 1, 0, 1)",25865.024714231502
6,"(4, 0, 1, 1, 0, 1)",25865.42786279439
7,"(4, 0, 2, 1, 0, 1)",25867.92254656108
8,"(3, 0, 2, 1, 0, 1)",25987.339339506918
9,"(4, 0, 1, 1, 0, 0)",26188.911224535026
10,"(3, 0, 1, 1, 0, 0)",26194.790191406653
11,"(4, 0, 2, 1, 0, 0)",26198.6600638083
12,"(2, 0, 2, 1, 0, 0)",26202.919834950386
13,"(4, 0, 1, 0, 0, 1)",26221.244564409903
14,"(3, 0, 1, 0, 0, 1)",26232.25681849636
15,"(4, 0, 2, 0, 0, 1)",26239.215272517515
16,"(3, 0, 2, 1, 0, 0)",26346.854259705433
17,"(3, 0, 2, 0, 0, 1)",26392.49761250607
18,"(4, 0, 1, 0, 0, 0)",26398.039499544662
19,"(3, 0, 1, 0, 0, 0)",26411.851993136337
20,"(4, 0, 2, 0, 0, 0)",26417.281057635733
21,"(4, 0, 0, 1, 0, 0)",26461.58206008365
22,"(3, 0, 0, 1, 0, 0)",26481.521793586777
23,"(4, 0, 0, 0, 0, 1)",26515.930248820845
24,"(2, 0, 1, 1, 0, 0)",26517.39551371363
25,"(3, 0, 0, 0, 0, 1)",26541.674928642235
26,"(2, 0, 0, 1, 0, 0)",26550.240882185724
27,"(2, 0, 1, 0, 0, 1)",26584.74786938745
28,"(3, 0, 2, 0, 0, 0)",26596.056117817745
29,"(2, 0, 0, 0, 0, 1)",26621.43533421259
30,"(2, 0, 2, 0, 0, 0)",26671.322204061416
31,"(4, 0, 0, 0, 0, 0)",26727.485583994887
32,"(3, 0, 0, 0, 0, 0)",26762.753636700985
33,"(2, 0, 2, 0, 0, 1)",26783.813774309354
34,"(2, 0, 1, 0, 0, 0)",26817.330855075325
35,"(2, 0, 0, 0, 0, 0)",26860.570713938683
