,parameters,aic
0,"(2, 0, 1, 1, 0, 1)",29720.985046845308
1,"(3, 0, 1, 1, 0, 1)",29723.631464073485
2,"(3, 0, 2, 1, 0, 1)",29724.385861375104
3,"(4, 0, 0, 1, 0, 1)",29724.42462576071
4,"(4, 0, 2, 1, 0, 1)",29726.082507353123
5,"(4, 0, 1, 1, 0, 1)",29726.42210773518
6,"(3, 0, 0, 1, 0, 1)",29728.15502212033
7,"(2, 0, 2, 1, 0, 1)",29736.526200229204
8,"(2, 0, 0, 1, 0, 1)",29748.15616381944
9,"(2, 0, 2, 1, 0, 0)",30622.84610834734
10,"(3, 0, 1, 1, 0, 0)",30646.605664331742
11,"(4, 0, 2, 1, 0, 0)",30651.21335516837
12,"(4, 0, 1, 1, 0, 0)",30654.51286542864
13,"(2, 0, 2, 0, 0, 1)",30830.805593212735
14,"(4, 0, 2, 0, 0, 1)",30843.499079253615
15,"(3, 0, 1, 0, 0, 1)",30855.14726081328
16,"(3, 0, 2, 1, 0, 0)",30874.144634474585
17,"(3, 0, 2, 0, 0, 1)",30878.54767091828
18,"(4, 0, 0, 1, 0, 0)",30950.361517920213
19,"(3, 0, 0, 1, 0, 0)",30950.9626338702
20,"(2, 0, 1, 1, 0, 0)",30971.865551718187
21,"(2, 0, 0, 1, 0, 0)",31024.448857939635
22,"(4, 0, 0, 0, 0, 1)",31210.374782118313
23,"(3, 0, 0, 0, 0, 1)",31211.481415117727
24,"(4, 0, 1, 0, 0, 1)",31215.460243975296
25,"(2, 0, 1, 0, 0, 1)",31236.44832946747
26,"(2, 0, 0, 0, 0, 1)",31302.08069595255
27,"(2, 0, 2, 0, 0, 0)",31346.733518180863
28,"(4, 0, 2, 0, 0, 0)",31362.33745673536
29,"(3, 0, 2, 0, 0, 0)",31373.950193447225
30,"(3, 0, 1, 0, 0, 0)",31760.688949911913
31,"(3, 0, 0, 0, 0, 0)",31762.726909388046
32,"(4, 0, 1, 0, 0, 0)",31763.58873946415
33,"(4, 0, 0, 0, 0, 0)",31763.89608871648
34,"(2, 0, 1, 0, 0, 0)",31779.961249715096
35,"(2, 0, 0, 0, 0, 0)",31867.89417594329
