,parameters,aic
0,"(4, 0, 2, 0, 0, 0)",46.74441492938897
1,"(2, 0, 2, 1, 0, 1)",23758.07978807818
2,"(3, 0, 0, 1, 0, 1)",23765.128561514623
3,"(2, 0, 1, 1, 0, 1)",23765.905678908937
4,"(4, 0, 1, 1, 0, 1)",23766.49199871301
5,"(4, 0, 0, 1, 0, 1)",23766.511819536994
6,"(3, 0, 2, 1, 0, 1)",23770.823292544508
7,"(4, 0, 2, 1, 0, 1)",23771.346676324414
8,"(2, 0, 0, 1, 0, 1)",23778.96008390119
9,"(3, 0, 1, 1, 0, 1)",23781.23804243832
10,"(4, 0, 1, 1, 0, 0)",24044.549445207867
11,"(3, 0, 1, 1, 0, 0)",24045.43931180903
12,"(4, 0, 2, 1, 0, 0)",24050.028776689283
13,"(4, 0, 1, 0, 0, 1)",24054.404365231923
14,"(3, 0, 1, 0, 0, 1)",24056.45478726544
15,"(4, 0, 2, 0, 0, 1)",24058.989591483292
16,"(3, 0, 2, 0, 0, 1)",24077.24851869218
17,"(4, 0, 1, 0, 0, 0)",24118.491326243908
18,"(3, 0, 1, 0, 0, 0)",24119.584277861755
19,"(2, 0, 2, 1, 0, 0)",24122.903851139145
20,"(3, 0, 2, 0, 0, 0)",24130.97837455998
21,"(3, 0, 2, 1, 0, 0)",24171.382240114923
22,"(4, 0, 0, 1, 0, 0)",24401.26632540046
23,"(3, 0, 0, 1, 0, 0)",24416.999584049314
24,"(4, 0, 0, 0, 0, 1)",24419.94569334458
25,"(3, 0, 0, 0, 0, 1)",24436.37413704872
26,"(2, 0, 1, 1, 0, 0)",24453.605409151845
27,"(2, 0, 1, 0, 0, 1)",24472.314310976184
28,"(2, 0, 0, 1, 0, 0)",24488.313797264396
29,"(4, 0, 0, 0, 0, 0)",24499.75474727155
30,"(2, 0, 0, 0, 0, 1)",24506.798667937004
31,"(3, 0, 0, 0, 0, 0)",24517.996839364176
32,"(2, 0, 1, 0, 0, 0)",24550.86159698112
33,"(2, 0, 2, 0, 0, 1)",24577.503515395303
34,"(2, 0, 0, 0, 0, 0)",24584.018256595205
35,"(2, 0, 2, 0, 0, 0)",24603.482907707134
