,parameters,aic
0,"(2, 0, 1, 1, 0, 1)",27394.45473040873
1,"(3, 0, 0, 1, 0, 1)",27395.450068522045
2,"(3, 0, 1, 1, 0, 1)",27396.172318933117
3,"(4, 0, 0, 1, 0, 1)",27396.28349564898
4,"(2, 0, 2, 1, 0, 1)",27396.339364587166
5,"(3, 0, 2, 1, 0, 1)",27398.146532061826
6,"(4, 0, 1, 1, 0, 1)",27398.426343482664
7,"(4, 0, 2, 1, 0, 1)",27399.13825227313
8,"(2, 0, 0, 1, 0, 1)",27417.159524434348
9,"(4, 0, 1, 1, 0, 0)",28252.104789583136
10,"(2, 0, 2, 1, 0, 0)",28257.578354206355
11,"(3, 0, 1, 1, 0, 0)",28262.196339541162
12,"(4, 0, 2, 1, 0, 0)",28266.349813342385
13,"(3, 0, 2, 1, 0, 0)",28349.905130785617
14,"(4, 0, 1, 0, 0, 1)",28370.990535617108
15,"(2, 0, 2, 0, 0, 1)",28372.19906333597
16,"(3, 0, 1, 0, 0, 1)",28380.50861116981
17,"(4, 0, 2, 0, 0, 1)",28385.889095815768
18,"(3, 0, 2, 0, 0, 1)",28394.193960753062
19,"(4, 0, 0, 1, 0, 0)",28587.449668346097
20,"(3, 0, 0, 1, 0, 0)",28601.557423018192
21,"(2, 0, 1, 1, 0, 0)",28630.79297880679
22,"(4, 0, 1, 0, 0, 0)",28654.95297944285
23,"(2, 0, 2, 0, 0, 0)",28665.507141810762
24,"(3, 0, 1, 0, 0, 0)",28668.160938528687
25,"(4, 0, 2, 0, 0, 0)",28672.220689197424
26,"(2, 0, 0, 1, 0, 0)",28683.970313841925
27,"(3, 0, 2, 0, 0, 0)",28740.671755386433
28,"(4, 0, 0, 0, 0, 1)",28746.12009403871
29,"(3, 0, 0, 0, 0, 1)",28767.929457458453
30,"(2, 0, 1, 0, 0, 1)",28804.570994170517
31,"(2, 0, 0, 0, 0, 1)",28870.400499280688
32,"(4, 0, 0, 0, 0, 0)",29067.36347276602
33,"(3, 0, 0, 0, 0, 0)",29098.472881221405
34,"(2, 0, 1, 0, 0, 0)",29141.775812687796
35,"(2, 0, 0, 0, 0, 0)",29227.655143131935
