,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",28449.01502935545
1,"(3, 0, 1, 1, 0, 1)",28465.549184951677
2,"(4, 0, 2, 1, 0, 1)",28475.15495367535
3,"(3, 0, 0, 1, 0, 1)",28479.413055747555
4,"(4, 0, 1, 1, 0, 1)",28480.343430973506
5,"(4, 0, 0, 1, 0, 1)",28480.89019705564
6,"(3, 0, 2, 1, 0, 1)",28481.252703345188
7,"(2, 0, 1, 1, 0, 1)",28486.026103283835
8,"(2, 0, 0, 1, 0, 1)",28492.070898429018
9,"(3, 0, 1, 1, 0, 0)",28803.125563153935
10,"(4, 0, 1, 1, 0, 0)",28804.577965389864
11,"(2, 0, 2, 1, 0, 0)",28807.078715890006
12,"(4, 0, 2, 1, 0, 0)",28807.088250512457
13,"(3, 0, 1, 0, 0, 1)",28819.748506897806
14,"(4, 0, 1, 0, 0, 1)",28820.865014168885
15,"(2, 0, 2, 0, 0, 1)",28824.66594842509
16,"(4, 0, 2, 0, 0, 1)",28825.01874730678
17,"(3, 0, 2, 1, 0, 0)",28882.660331201485
18,"(3, 0, 1, 0, 0, 0)",28900.340543705897
19,"(4, 0, 1, 0, 0, 0)",28901.836293927754
20,"(4, 0, 2, 0, 0, 0)",28904.32717674033
21,"(2, 0, 2, 0, 0, 0)",28908.23615598214
22,"(3, 0, 2, 0, 0, 1)",28922.74594078166
23,"(3, 0, 2, 0, 0, 0)",28953.968118866887
24,"(4, 0, 0, 1, 0, 0)",29271.97889166672
25,"(4, 0, 0, 0, 0, 1)",29300.626249847854
26,"(3, 0, 0, 1, 0, 0)",29324.57484514234
27,"(3, 0, 0, 0, 0, 1)",29357.247119783686
28,"(4, 0, 0, 0, 0, 0)",29404.433271043777
29,"(2, 0, 1, 1, 0, 0)",29405.69097865055
30,"(2, 0, 0, 1, 0, 0)",29416.79530615945
31,"(2, 0, 1, 0, 0, 1)",29438.904849566126
32,"(2, 0, 0, 0, 0, 1)",29451.086718195333
33,"(3, 0, 0, 0, 0, 0)",29467.16939808161
34,"(2, 0, 1, 0, 0, 0)",29546.723232981654
35,"(2, 0, 0, 0, 0, 0)",29562.110160974662
