,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",23982.3482223336
1,"(4, 0, 0, 1, 0, 1)",23986.694912680065
2,"(2, 0, 1, 1, 0, 1)",23987.13506152399
3,"(4, 0, 1, 1, 0, 1)",23988.591952477265
4,"(3, 0, 1, 1, 0, 1)",23988.81297534823
5,"(3, 0, 2, 1, 0, 1)",23991.07298184706
6,"(3, 0, 0, 1, 0, 1)",23993.305027803464
7,"(4, 0, 2, 1, 0, 1)",24003.755717613167
8,"(2, 0, 0, 1, 0, 1)",24004.07196299947
9,"(2, 0, 2, 1, 0, 0)",24325.249815301227
10,"(3, 0, 1, 1, 0, 0)",24333.960200850946
11,"(2, 0, 2, 0, 0, 1)",24335.661314727455
12,"(4, 0, 2, 1, 0, 0)",24336.93860064378
13,"(3, 0, 1, 0, 0, 1)",24344.56948171189
14,"(4, 0, 2, 0, 0, 1)",24348.117853539818
15,"(3, 0, 2, 1, 0, 0)",24363.739487836545
16,"(3, 0, 2, 0, 0, 1)",24387.516910117607
17,"(2, 0, 2, 0, 0, 0)",24400.617009228095
18,"(3, 0, 1, 0, 0, 0)",24406.427751598367
19,"(4, 0, 2, 0, 0, 0)",24411.011644283208
20,"(3, 0, 2, 0, 0, 0)",24504.143999906068
21,"(4, 0, 0, 1, 0, 0)",24716.453401732346
22,"(3, 0, 0, 1, 0, 0)",24716.824340133924
23,"(4, 0, 1, 1, 0, 0)",24720.8183881762
24,"(4, 0, 0, 0, 0, 1)",24737.69001535196
25,"(3, 0, 0, 0, 0, 1)",24738.38804378566
26,"(2, 0, 1, 1, 0, 0)",24740.923266513764
27,"(4, 0, 1, 0, 0, 1)",24742.384277152127
28,"(2, 0, 1, 0, 0, 1)",24762.57002914168
29,"(2, 0, 0, 1, 0, 0)",24785.222717748515
30,"(2, 0, 0, 0, 0, 1)",24806.373071326816
31,"(4, 0, 0, 0, 0, 0)",24827.33818564999
32,"(3, 0, 0, 0, 0, 0)",24828.97772860406
33,"(4, 0, 1, 0, 0, 0)",24832.977356409985
34,"(2, 0, 1, 0, 0, 0)",24851.504840925274
35,"(2, 0, 0, 0, 0, 0)",24893.59642553535
