,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",28838.8989626488
1,"(3, 0, 2, 1, 0, 1)",28842.326349907147
2,"(3, 0, 1, 1, 0, 1)",28844.35945351885
3,"(4, 0, 2, 1, 0, 1)",28845.646452088073
4,"(4, 0, 1, 1, 0, 1)",28864.33493141697
5,"(4, 0, 0, 1, 0, 1)",28869.46077393725
6,"(3, 0, 0, 1, 0, 1)",28878.339300257565
7,"(2, 0, 1, 1, 0, 1)",28901.352672197987
8,"(2, 0, 0, 1, 0, 1)",28928.197699602402
9,"(2, 0, 2, 1, 0, 0)",29868.717114222694
10,"(4, 0, 1, 1, 0, 0)",29882.432449272073
11,"(3, 0, 2, 1, 0, 0)",29893.426289306535
12,"(4, 0, 2, 1, 0, 0)",29979.50677578528
13,"(2, 0, 2, 0, 0, 1)",30047.696373969513
14,"(3, 0, 1, 1, 0, 0)",30076.665306587794
15,"(4, 0, 0, 1, 0, 0)",30083.94007151791
16,"(3, 0, 0, 1, 0, 0)",30102.166014577084
17,"(2, 0, 1, 1, 0, 0)",30159.29789022546
18,"(2, 0, 0, 1, 0, 0)",30211.43302976501
19,"(3, 0, 1, 0, 0, 1)",30294.6631118704
20,"(3, 0, 2, 0, 0, 1)",30295.79005000238
21,"(4, 0, 1, 0, 0, 1)",30295.95482246768
22,"(4, 0, 0, 0, 0, 1)",30296.58781803172
23,"(4, 0, 2, 0, 0, 1)",30297.94824127411
24,"(3, 0, 0, 0, 0, 1)",30319.574446678245
25,"(2, 0, 1, 0, 0, 1)",30372.577518512786
26,"(2, 0, 0, 0, 0, 1)",30424.242188885364
27,"(2, 0, 2, 0, 0, 0)",30443.526005371197
28,"(4, 0, 2, 0, 0, 0)",30656.325390041464
29,"(3, 0, 2, 0, 0, 0)",30703.690503638107
30,"(4, 0, 0, 0, 0, 0)",30705.079238840422
31,"(4, 0, 1, 0, 0, 0)",30706.66220845134
32,"(3, 0, 1, 0, 0, 0)",30711.244845683796
33,"(3, 0, 0, 0, 0, 0)",30737.493069362456
34,"(2, 0, 1, 0, 0, 0)",30781.68414683905
35,"(2, 0, 0, 0, 0, 0)",30827.060243017422
