,parameters,aic
0,"(2, 0, 1, 1, 0, 1)",28809.368888457193
1,"(3, 0, 2, 1, 0, 1)",28810.045566155735
2,"(4, 0, 0, 1, 0, 1)",28811.20854927457
3,"(3, 0, 0, 1, 0, 1)",28811.533496905446
4,"(3, 0, 1, 1, 0, 1)",28812.323968079796
5,"(4, 0, 1, 1, 0, 1)",28814.11431881829
6,"(4, 0, 2, 1, 0, 1)",28817.948568544332
7,"(2, 0, 2, 1, 0, 1)",28819.107450722695
8,"(2, 0, 0, 1, 0, 1)",28829.276812166107
9,"(2, 0, 2, 1, 0, 0)",29490.140693943784
10,"(4, 0, 2, 1, 0, 0)",29503.19027574746
11,"(3, 0, 1, 1, 0, 0)",29519.161499918664
12,"(2, 0, 2, 0, 0, 1)",29555.019588593907
13,"(3, 0, 1, 0, 0, 1)",29586.25594592615
14,"(3, 0, 0, 1, 0, 0)",29792.514459607533
15,"(2, 0, 2, 0, 0, 0)",29792.77245172099
16,"(4, 0, 0, 1, 0, 0)",29794.168700855484
17,"(4, 0, 1, 1, 0, 0)",29796.002137819654
18,"(3, 0, 2, 1, 0, 0)",29798.768941045262
19,"(2, 0, 1, 1, 0, 0)",29806.713101935715
20,"(2, 0, 0, 1, 0, 0)",29846.318348255965
21,"(4, 0, 2, 0, 0, 1)",29873.62259987532
22,"(3, 0, 0, 0, 0, 1)",29881.030494712337
23,"(4, 0, 0, 0, 0, 1)",29882.91152821544
24,"(4, 0, 1, 0, 0, 1)",29884.02023811344
25,"(3, 0, 2, 0, 0, 1)",29884.59524423172
26,"(2, 0, 1, 0, 0, 1)",29890.434652706157
27,"(2, 0, 0, 0, 0, 1)",29931.645024921276
28,"(3, 0, 2, 0, 0, 0)",30139.20552866513
29,"(2, 0, 1, 0, 0, 0)",30139.358373307285
30,"(3, 0, 1, 0, 0, 0)",30139.72167367721
31,"(4, 0, 2, 0, 0, 0)",30139.785341693303
32,"(3, 0, 0, 0, 0, 0)",30140.075012469653
33,"(4, 0, 1, 0, 0, 0)",30140.628126043608
34,"(4, 0, 0, 0, 0, 0)",30141.923582584437
35,"(2, 0, 0, 0, 0, 0)",30180.74299568906
