,parameters,aic
0,"(4, 0, 1, 1, 0, 1)",26858.20425878797
1,"(4, 0, 0, 1, 0, 1)",26871.550706892183
2,"(2, 0, 1, 1, 0, 1)",26873.464155868463
3,"(2, 0, 2, 1, 0, 1)",26875.19533739171
4,"(3, 0, 0, 1, 0, 1)",26875.805514150317
5,"(3, 0, 2, 1, 0, 1)",26877.959126300808
6,"(4, 0, 2, 1, 0, 1)",26879.597099199145
7,"(2, 0, 0, 1, 0, 1)",26882.328089708506
8,"(3, 0, 1, 1, 0, 1)",26886.267485418888
9,"(4, 0, 2, 0, 0, 1)",27380.81897451849
10,"(3, 0, 2, 0, 0, 1)",27417.528731867835
11,"(4, 0, 2, 1, 0, 0)",27422.29622425846
12,"(4, 0, 2, 0, 0, 0)",27431.86314922533
13,"(3, 0, 2, 1, 0, 0)",27443.054906211077
14,"(2, 0, 2, 1, 0, 0)",27737.70208699284
15,"(4, 0, 1, 1, 0, 0)",27906.38288462962
16,"(4, 0, 0, 1, 0, 0)",27915.53265008575
17,"(2, 0, 0, 1, 0, 0)",27932.52426948934
18,"(3, 0, 1, 1, 0, 0)",27933.637525203438
19,"(2, 0, 1, 1, 0, 0)",27934.075324579695
20,"(3, 0, 0, 1, 0, 0)",27934.30713758566
21,"(4, 0, 1, 0, 0, 1)",27986.078954463246
22,"(4, 0, 0, 0, 0, 1)",27997.15850864978
23,"(2, 0, 2, 0, 0, 1)",28001.616867677425
24,"(2, 0, 1, 0, 0, 1)",28024.179694420647
25,"(2, 0, 0, 0, 0, 1)",28024.468971988877
26,"(3, 0, 0, 0, 0, 1)",28025.52895480107
27,"(3, 0, 1, 0, 0, 1)",28027.69235120202
28,"(4, 0, 1, 0, 0, 0)",28179.09864890583
29,"(4, 0, 0, 0, 0, 0)",28191.11288063385
30,"(2, 0, 2, 0, 0, 0)",28197.927257760213
31,"(3, 0, 1, 0, 0, 0)",28208.178148465882
32,"(3, 0, 2, 0, 0, 0)",28218.395440486507
33,"(2, 0, 1, 0, 0, 0)",28223.540486335223
34,"(3, 0, 0, 0, 0, 0)",28233.375961969174
35,"(2, 0, 0, 0, 0, 0)",28238.57394721478
