,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",24190.01964263206
1,"(4, 0, 1, 1, 0, 1)",24201.150474781793
2,"(3, 0, 1, 1, 0, 1)",24204.555102553044
3,"(3, 0, 0, 1, 0, 1)",24204.63424501851
4,"(4, 0, 0, 1, 0, 1)",24205.94171595609
5,"(4, 0, 2, 1, 0, 1)",24208.640715390615
6,"(2, 0, 1, 1, 0, 1)",24214.443887893798
7,"(2, 0, 0, 1, 0, 1)",24242.203866094078
8,"(4, 0, 1, 1, 0, 0)",24302.005224200395
9,"(2, 0, 2, 1, 0, 0)",24306.853732275376
10,"(4, 0, 1, 0, 0, 1)",24309.76692657573
11,"(2, 0, 2, 0, 0, 1)",24312.187163300132
12,"(3, 0, 2, 1, 0, 0)",24319.429184866753
13,"(3, 0, 1, 1, 0, 0)",24325.076339396368
14,"(4, 0, 2, 1, 0, 0)",24329.92654189569
15,"(3, 0, 1, 0, 0, 1)",24330.014051801823
16,"(4, 0, 2, 0, 0, 1)",24334.20345719746
17,"(4, 0, 1, 0, 0, 0)",24342.007957779002
18,"(2, 0, 2, 0, 0, 0)",24347.23302903175
19,"(3, 0, 2, 0, 0, 0)",24353.597894127466
20,"(3, 0, 1, 0, 0, 0)",24362.64370122998
21,"(4, 0, 2, 0, 0, 0)",24364.39568962533
22,"(3, 0, 2, 0, 0, 1)",24373.996962969068
23,"(4, 0, 0, 1, 0, 0)",24577.724803687048
24,"(4, 0, 0, 0, 0, 1)",24586.53946672559
25,"(3, 0, 0, 1, 0, 0)",24589.488016433635
26,"(3, 0, 0, 0, 0, 1)",24598.4271228399
27,"(4, 0, 0, 0, 0, 0)",24631.946767005735
28,"(3, 0, 0, 0, 0, 0)",24644.529514648624
29,"(2, 0, 1, 1, 0, 0)",24646.310566833992
30,"(2, 0, 1, 0, 0, 1)",24654.95872837487
31,"(2, 0, 0, 1, 0, 0)",24690.982984274924
32,"(2, 0, 1, 0, 0, 0)",24698.738910040083
33,"(2, 0, 0, 0, 0, 1)",24699.088467910595
34,"(2, 0, 0, 0, 0, 0)",24740.26512394166
