,parameters,aic
0,"(4, 0, 0, 1, 0, 1)",27192.992826996513
1,"(3, 0, 0, 1, 0, 1)",27194.673556565187
2,"(2, 0, 0, 1, 0, 1)",27196.13887368596
3,"(4, 0, 1, 1, 0, 1)",27199.404887371587
4,"(2, 0, 2, 1, 0, 1)",27201.994490991536
5,"(3, 0, 2, 1, 0, 1)",27204.792062448836
6,"(3, 0, 1, 1, 0, 1)",27205.08424965647
7,"(4, 0, 2, 1, 0, 1)",27214.01775339174
8,"(2, 0, 1, 1, 0, 1)",27254.401731218397
9,"(4, 0, 2, 1, 0, 0)",27762.979457897236
10,"(3, 0, 1, 1, 0, 0)",27773.65665182197
11,"(2, 0, 2, 1, 0, 0)",27776.187675726916
12,"(4, 0, 2, 0, 0, 1)",27805.546693385164
13,"(3, 0, 2, 1, 0, 0)",27805.88624374262
14,"(2, 0, 2, 0, 0, 1)",27808.286032561024
15,"(3, 0, 2, 0, 0, 1)",27845.754402882038
16,"(3, 0, 2, 0, 0, 0)",28019.78552954003
17,"(3, 0, 0, 1, 0, 0)",28151.07534122647
18,"(4, 0, 0, 1, 0, 0)",28152.857939006615
19,"(4, 0, 1, 1, 0, 0)",28155.07060490429
20,"(2, 0, 1, 1, 0, 0)",28161.941307166704
21,"(2, 0, 0, 1, 0, 0)",28164.91565020859
22,"(3, 0, 0, 0, 0, 1)",28193.550221207246
23,"(3, 0, 1, 0, 0, 1)",28195.488938519913
24,"(4, 0, 0, 0, 0, 1)",28195.54433161538
25,"(4, 0, 1, 0, 0, 1)",28197.281182513652
26,"(2, 0, 0, 0, 0, 1)",28204.019454094432
27,"(2, 0, 1, 0, 0, 1)",28206.925072885548
28,"(2, 0, 2, 0, 0, 0)",28341.440546620463
29,"(3, 0, 1, 0, 0, 0)",28341.441967374023
30,"(3, 0, 0, 0, 0, 0)",28341.714690656114
31,"(4, 0, 0, 0, 0, 0)",28342.89274708181
32,"(4, 0, 1, 0, 0, 0)",28343.441415992762
33,"(4, 0, 2, 0, 0, 0)",28345.354178940135
34,"(2, 0, 0, 0, 0, 0)",28347.034951080135
35,"(2, 0, 1, 0, 0, 0)",28353.707763391667
