,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",26693.485312816858
1,"(2, 0, 2, 1, 0, 1)",26694.623712221277
2,"(4, 0, 1, 1, 0, 1)",26699.57954984018
3,"(4, 0, 2, 1, 0, 1)",26704.354061487687
4,"(3, 0, 0, 1, 0, 1)",26705.459358852793
5,"(3, 0, 1, 1, 0, 1)",26706.350400460804
6,"(4, 0, 0, 1, 0, 1)",26707.08814529607
7,"(2, 0, 1, 1, 0, 1)",26713.638644832576
8,"(2, 0, 0, 1, 0, 1)",26752.62695635974
9,"(4, 0, 1, 1, 0, 0)",27129.528788939882
10,"(3, 0, 2, 1, 0, 0)",27138.260368193445
11,"(2, 0, 2, 1, 0, 0)",27140.632205869697
12,"(4, 0, 1, 0, 0, 1)",27167.410757699654
13,"(3, 0, 1, 1, 0, 0)",27173.438750016678
14,"(4, 0, 2, 1, 0, 0)",27176.313795152797
15,"(3, 0, 2, 0, 0, 1)",27177.356492265706
16,"(2, 0, 2, 0, 0, 1)",27178.872996116235
17,"(4, 0, 2, 0, 0, 1)",27210.572320612184
18,"(3, 0, 1, 0, 0, 1)",27212.948164172085
19,"(4, 0, 0, 1, 0, 0)",27258.74258400347
20,"(3, 0, 0, 1, 0, 0)",27260.022354975194
21,"(2, 0, 1, 1, 0, 0)",27287.666093894015
22,"(4, 0, 0, 0, 0, 1)",27296.030560845225
23,"(3, 0, 0, 0, 0, 1)",27297.914249860456
24,"(4, 0, 1, 0, 0, 0)",27328.94055520266
25,"(2, 0, 1, 0, 0, 1)",27330.453465038496
26,"(3, 0, 2, 0, 0, 0)",27337.537777172558
27,"(2, 0, 0, 1, 0, 0)",27342.5466486392
28,"(2, 0, 2, 0, 0, 0)",27349.309684923606
29,"(2, 0, 0, 0, 0, 1)",27389.250169898376
30,"(4, 0, 2, 0, 0, 0)",27431.290399943075
31,"(3, 0, 1, 0, 0, 0)",27443.83844222464
32,"(4, 0, 0, 0, 0, 0)",27447.650467230582
33,"(3, 0, 0, 0, 0, 0)",27451.34717902021
34,"(2, 0, 1, 0, 0, 0)",27501.034742270298
35,"(2, 0, 0, 0, 0, 0)",27570.867764570572
