,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",27882.33463961406
1,"(3, 0, 0, 1, 0, 1)",27891.566093195015
2,"(2, 0, 0, 1, 0, 1)",27891.68009383587
3,"(2, 0, 1, 1, 0, 1)",27893.16743857243
4,"(4, 0, 0, 1, 0, 1)",27896.357153481684
5,"(2, 0, 2, 1, 0, 1)",27897.840155250644
6,"(3, 0, 1, 1, 0, 1)",27902.291552228296
7,"(4, 0, 1, 1, 0, 1)",27904.86667366059
8,"(4, 0, 2, 1, 0, 1)",27905.06724781585
9,"(2, 0, 2, 1, 0, 0)",28455.55232568807
10,"(3, 0, 1, 1, 0, 0)",28458.177060709484
11,"(4, 0, 2, 1, 0, 0)",28460.133713989686
12,"(4, 0, 1, 1, 0, 0)",28479.46375018436
13,"(3, 0, 2, 1, 0, 0)",28486.36623322964
14,"(2, 0, 2, 0, 0, 1)",28496.313235815967
15,"(3, 0, 1, 0, 0, 1)",28498.451488112645
16,"(4, 0, 1, 0, 0, 1)",28501.707625454957
17,"(4, 0, 2, 0, 0, 1)",28502.725445652624
18,"(3, 0, 2, 0, 0, 1)",28525.388554163004
19,"(2, 0, 2, 0, 0, 0)",28695.674298025842
20,"(3, 0, 1, 0, 0, 0)",28696.55815925882
21,"(4, 0, 1, 0, 0, 0)",28698.96565359137
22,"(4, 0, 2, 0, 0, 0)",28702.69787127804
23,"(3, 0, 2, 0, 0, 0)",28738.855459906357
24,"(4, 0, 0, 1, 0, 0)",28931.275543686217
25,"(3, 0, 0, 1, 0, 0)",28942.834249389718
26,"(4, 0, 0, 0, 0, 1)",28986.081234748464
27,"(3, 0, 0, 0, 0, 1)",28995.261474983883
28,"(2, 0, 0, 1, 0, 0)",28999.0721458021
29,"(2, 0, 1, 1, 0, 0)",29010.98519779001
30,"(2, 0, 0, 0, 0, 1)",29053.46668746444
31,"(2, 0, 1, 0, 0, 1)",29062.7992867903
32,"(4, 0, 0, 0, 0, 0)",29205.439238741976
33,"(3, 0, 0, 0, 0, 0)",29209.072683030772
34,"(2, 0, 1, 0, 0, 0)",29274.963503754883
35,"(2, 0, 0, 0, 0, 0)",29275.36525363287
