,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",28445.845158068303
1,"(2, 0, 1, 1, 0, 1)",28449.048536660124
2,"(3, 0, 1, 1, 0, 1)",28450.280650541208
3,"(4, 0, 1, 1, 0, 1)",28451.896706804833
4,"(4, 0, 0, 1, 0, 1)",28453.537246562533
5,"(2, 0, 2, 1, 0, 1)",28453.803157453764
6,"(4, 0, 2, 1, 0, 1)",28454.225499344837
7,"(3, 0, 0, 1, 0, 1)",28455.68515660137
8,"(2, 0, 0, 1, 0, 1)",28502.053975274557
9,"(2, 0, 2, 1, 0, 0)",29235.225051322308
10,"(3, 0, 2, 1, 0, 0)",29235.45837899614
11,"(2, 0, 2, 0, 0, 1)",29326.240165828385
12,"(3, 0, 2, 0, 0, 1)",29329.667709182737
13,"(4, 0, 2, 1, 0, 0)",29495.934558849272
14,"(3, 0, 0, 1, 0, 0)",29502.776767394836
15,"(4, 0, 1, 1, 0, 0)",29503.63830035362
16,"(3, 0, 1, 1, 0, 0)",29504.7702012021
17,"(4, 0, 0, 1, 0, 0)",29504.77477552453
18,"(2, 0, 1, 1, 0, 0)",29515.843842628336
19,"(3, 0, 2, 0, 0, 0)",29545.614993373776
20,"(2, 0, 2, 0, 0, 0)",29548.05859142552
21,"(4, 0, 2, 0, 0, 1)",29596.091601496555
22,"(2, 0, 0, 1, 0, 0)",29596.1249899401
23,"(3, 0, 0, 0, 0, 1)",29620.49812250033
24,"(4, 0, 1, 0, 0, 1)",29621.042449572215
25,"(3, 0, 1, 0, 0, 1)",29622.401261153405
26,"(4, 0, 0, 0, 0, 1)",29622.462879590596
27,"(2, 0, 1, 0, 0, 1)",29631.18635401352
28,"(2, 0, 0, 0, 0, 1)",29709.278850259463
29,"(4, 0, 2, 0, 0, 0)",29859.88526210687
30,"(4, 0, 1, 0, 0, 0)",29863.519875690836
31,"(3, 0, 0, 0, 0, 0)",29863.707540202282
32,"(3, 0, 1, 0, 0, 0)",29865.037721605117
33,"(4, 0, 0, 0, 0, 0)",29865.37249056665
34,"(2, 0, 1, 0, 0, 0)",29871.872164818666
35,"(2, 0, 0, 0, 0, 0)",29941.004502886135
