,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",24220.073749075706
1,"(4, 0, 0, 1, 0, 1)",24221.860288570177
2,"(3, 0, 1, 1, 0, 1)",24221.951392870695
3,"(3, 0, 2, 1, 0, 1)",24223.714178342034
4,"(4, 0, 1, 1, 0, 1)",24223.7556838964
5,"(4, 0, 2, 1, 0, 1)",24224.767266227318
6,"(2, 0, 2, 1, 0, 1)",24225.239771270142
7,"(2, 0, 0, 1, 0, 1)",24257.46052985006
8,"(2, 0, 1, 1, 0, 1)",24406.63198873931
9,"(2, 0, 2, 1, 0, 0)",24599.809337170547
10,"(3, 0, 2, 1, 0, 0)",24607.447671641396
11,"(4, 0, 1, 1, 0, 0)",24609.069214555835
12,"(3, 0, 2, 0, 0, 1)",24616.051632228966
13,"(2, 0, 2, 0, 0, 1)",24616.21161209018
14,"(4, 0, 1, 0, 0, 1)",24625.198501745515
15,"(4, 0, 2, 1, 0, 0)",24627.713030503313
16,"(3, 0, 1, 1, 0, 0)",24636.98834639612
17,"(4, 0, 2, 0, 0, 1)",24638.890406584684
18,"(3, 0, 1, 0, 0, 1)",24648.180311128304
19,"(3, 0, 2, 0, 0, 0)",24713.373597841914
20,"(2, 0, 2, 0, 0, 0)",24714.296216687962
21,"(4, 0, 1, 0, 0, 0)",24717.865215832026
22,"(4, 0, 2, 0, 0, 0)",24731.02150117113
23,"(3, 0, 1, 0, 0, 0)",24743.16364390315
24,"(4, 0, 0, 1, 0, 0)",24802.769094659732
25,"(3, 0, 0, 1, 0, 0)",24804.435210027306
26,"(4, 0, 0, 0, 0, 1)",24824.098644378355
27,"(3, 0, 0, 0, 0, 1)",24826.150762431647
28,"(2, 0, 1, 1, 0, 0)",24838.958205136336
29,"(2, 0, 1, 0, 0, 1)",24861.31589731015
30,"(2, 0, 0, 1, 0, 0)",24894.106368652596
31,"(2, 0, 0, 0, 0, 1)",24915.82868702333
32,"(4, 0, 0, 0, 0, 0)",24932.90440031794
33,"(3, 0, 0, 0, 0, 0)",24936.374589579435
34,"(2, 0, 1, 0, 0, 0)",24973.846764653943
35,"(2, 0, 0, 0, 0, 0)",25026.574400162488
