,parameters,aic
0,"(4, 0, 1, 1, 0, 1)",23720.058564603685
1,"(2, 0, 1, 1, 0, 1)",23722.175497573662
2,"(4, 0, 0, 1, 0, 1)",23722.634018645178
3,"(4, 0, 2, 1, 0, 1)",23723.22375557906
4,"(2, 0, 2, 1, 0, 1)",23723.715819926034
5,"(3, 0, 0, 1, 0, 1)",23725.33827225564
6,"(3, 0, 2, 1, 0, 1)",23726.27424490903
7,"(3, 0, 1, 1, 0, 1)",23728.47955737763
8,"(2, 0, 0, 1, 0, 1)",23740.233094924548
9,"(4, 0, 2, 1, 0, 0)",24815.505682565636
10,"(2, 0, 2, 1, 0, 0)",24824.462778183373
11,"(4, 0, 1, 1, 0, 0)",24824.748178652542
12,"(4, 0, 0, 1, 0, 0)",24825.40005460937
13,"(3, 0, 1, 1, 0, 0)",24830.617169769663
14,"(2, 0, 1, 1, 0, 0)",24831.645336878293
15,"(3, 0, 0, 1, 0, 0)",24833.631976169614
16,"(3, 0, 2, 1, 0, 0)",24835.643583629615
17,"(2, 0, 0, 1, 0, 0)",24838.0810125304
18,"(4, 0, 2, 0, 0, 1)",24987.776444311206
19,"(4, 0, 1, 0, 0, 1)",24993.683078107733
20,"(2, 0, 2, 0, 0, 1)",24993.80216164844
21,"(4, 0, 0, 0, 0, 1)",24994.98253155549
22,"(3, 0, 2, 0, 0, 1)",24995.514325502158
23,"(3, 0, 1, 0, 0, 1)",25003.94003135889
24,"(2, 0, 1, 0, 0, 1)",25006.85002004957
25,"(3, 0, 0, 0, 0, 1)",25008.219309434364
26,"(2, 0, 0, 0, 0, 1)",25010.048912306294
27,"(4, 0, 1, 0, 0, 0)",25348.037527313038
28,"(2, 0, 2, 0, 0, 0)",25348.38083395296
29,"(4, 0, 2, 0, 0, 0)",25348.588922163282
30,"(4, 0, 0, 0, 0, 0)",25349.373789508765
31,"(3, 0, 2, 0, 0, 0)",25350.279969149444
32,"(3, 0, 1, 0, 0, 0)",25360.982960497997
33,"(2, 0, 1, 0, 0, 0)",25365.913935770033
34,"(3, 0, 0, 0, 0, 0)",25367.797948544525
35,"(2, 0, 0, 0, 0, 0)",25371.148981889564
