,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",22605.16708295634
1,"(2, 0, 1, 1, 0, 1)",22615.441532995475
2,"(3, 0, 2, 1, 0, 1)",22617.338302147724
3,"(4, 0, 0, 1, 0, 1)",22618.939855824792
4,"(3, 0, 0, 1, 0, 1)",22619.31647002508
5,"(4, 0, 1, 1, 0, 1)",22622.431790982686
6,"(4, 0, 2, 1, 0, 1)",22625.27779564099
7,"(3, 0, 1, 1, 0, 1)",22631.349287391182
8,"(2, 0, 0, 1, 0, 1)",22636.817811169214
9,"(2, 0, 2, 1, 0, 0)",23004.976885202428
10,"(4, 0, 1, 1, 0, 0)",23007.772910870295
11,"(3, 0, 1, 1, 0, 0)",23018.83535438812
12,"(4, 0, 2, 1, 0, 0)",23024.297127687085
13,"(2, 0, 2, 0, 0, 1)",23026.034845727198
14,"(4, 0, 1, 0, 0, 1)",23029.38985359772
15,"(3, 0, 2, 0, 0, 1)",23038.53693913181
16,"(4, 0, 2, 0, 0, 1)",23039.302753683813
17,"(3, 0, 1, 0, 0, 1)",23040.264912835242
18,"(3, 0, 2, 1, 0, 0)",23048.221108788504
19,"(2, 0, 2, 0, 0, 0)",23104.581659954936
20,"(4, 0, 1, 0, 0, 0)",23107.56091143381
21,"(3, 0, 2, 0, 0, 0)",23114.90016078455
22,"(4, 0, 2, 0, 0, 0)",23115.856249742956
23,"(3, 0, 1, 0, 0, 0)",23120.73195892572
24,"(4, 0, 0, 1, 0, 0)",23395.95281835034
25,"(3, 0, 0, 1, 0, 0)",23410.584086960946
26,"(4, 0, 0, 0, 0, 1)",23424.506846270568
27,"(3, 0, 0, 0, 0, 1)",23440.57809011419
28,"(2, 0, 1, 1, 0, 0)",23469.604890065402
29,"(2, 0, 1, 0, 0, 1)",23502.80082590649
30,"(2, 0, 0, 1, 0, 0)",23515.407939682627
31,"(4, 0, 0, 0, 0, 0)",23516.240660723284
32,"(3, 0, 0, 0, 0, 0)",23534.394498016005
33,"(2, 0, 0, 0, 0, 1)",23549.98595847411
34,"(2, 0, 1, 0, 0, 0)",23604.139847965165
35,"(2, 0, 0, 0, 0, 0)",23655.77143156423
