,parameters,aic
0,"(4, 0, 2, 1, 0, 1)",29613.11760806199
1,"(4, 0, 0, 1, 0, 1)",29627.289799027556
2,"(3, 0, 0, 1, 0, 1)",29629.14317493939
3,"(2, 0, 2, 1, 0, 1)",29630.649113086187
4,"(4, 0, 1, 1, 0, 1)",29630.78192592632
5,"(2, 0, 1, 1, 0, 1)",29633.30359456967
6,"(3, 0, 1, 1, 0, 1)",29634.39353264454
7,"(2, 0, 0, 1, 0, 1)",29637.457715080927
8,"(3, 0, 2, 1, 0, 1)",29670.48601733078
9,"(4, 0, 1, 1, 0, 0)",30282.067776108473
10,"(3, 0, 1, 1, 0, 0)",30284.74367363402
11,"(2, 0, 2, 1, 0, 0)",30286.479451036434
12,"(4, 0, 2, 1, 0, 0)",30286.819816973213
13,"(4, 0, 1, 0, 0, 1)",30399.752728598556
14,"(4, 0, 2, 0, 0, 1)",30400.091586965907
15,"(3, 0, 1, 0, 0, 1)",30400.854223403752
16,"(2, 0, 2, 0, 0, 1)",30407.614630497395
17,"(3, 0, 2, 0, 0, 1)",30415.304409792883
18,"(3, 0, 2, 1, 0, 0)",30418.266741953048
19,"(4, 0, 2, 0, 0, 0)",30690.443553050773
20,"(3, 0, 1, 0, 0, 0)",30695.49623120258
21,"(4, 0, 1, 0, 0, 0)",30696.272437122316
22,"(4, 0, 0, 1, 0, 0)",30701.801435034933
23,"(3, 0, 2, 0, 0, 0)",30702.73811175787
24,"(2, 0, 2, 0, 0, 0)",30726.058097289122
25,"(3, 0, 0, 1, 0, 0)",30792.35727143251
26,"(4, 0, 0, 0, 0, 1)",30860.33279722597
27,"(2, 0, 1, 1, 0, 0)",30881.44087056136
28,"(2, 0, 0, 1, 0, 0)",30901.86179581455
29,"(3, 0, 0, 0, 0, 1)",30995.919304421204
30,"(2, 0, 1, 0, 0, 1)",31103.50390889847
31,"(2, 0, 0, 0, 0, 1)",31131.615345128546
32,"(4, 0, 0, 0, 0, 0)",31178.36650830277
33,"(3, 0, 0, 0, 0, 0)",31375.96230152629
34,"(2, 0, 1, 0, 0, 0)",31497.813333757695
35,"(2, 0, 0, 0, 0, 0)",31536.5296836709
