,parameters,aic
0,"(4, 0, 2, 0, 0, 0)",14.0
1,"(2, 0, 2, 1, 0, 1)",21010.530829010684
2,"(3, 0, 2, 1, 0, 1)",21017.388786407515
3,"(3, 0, 0, 1, 0, 1)",21030.917104727134
4,"(4, 0, 0, 1, 0, 1)",21032.69693321838
5,"(4, 0, 1, 1, 0, 1)",21034.680776251047
6,"(2, 0, 1, 1, 0, 1)",21034.720294021045
7,"(4, 0, 2, 1, 0, 1)",21035.158831224475
8,"(3, 0, 1, 1, 0, 1)",21041.556297162828
9,"(2, 0, 0, 1, 0, 1)",21051.03747228941
10,"(2, 0, 2, 1, 0, 0)",21422.550943287923
11,"(4, 0, 2, 1, 0, 0)",21426.97017440065
12,"(3, 0, 1, 1, 0, 0)",21428.876186476842
13,"(3, 0, 2, 1, 0, 0)",21431.401716319844
14,"(2, 0, 2, 0, 0, 1)",21445.343476581755
15,"(3, 0, 1, 0, 0, 1)",21446.382268161346
16,"(4, 0, 1, 1, 0, 0)",21448.240106241592
17,"(4, 0, 2, 0, 0, 1)",21451.051191097908
18,"(3, 0, 2, 0, 0, 1)",21452.24411631903
19,"(4, 0, 1, 0, 0, 1)",21454.77965944927
20,"(3, 0, 1, 0, 0, 0)",21563.399411900948
21,"(3, 0, 2, 0, 0, 0)",21564.884834688477
22,"(4, 0, 1, 0, 0, 0)",21568.41472004544
23,"(2, 0, 2, 0, 0, 0)",21570.62716810484
24,"(4, 0, 0, 1, 0, 0)",21697.99654473959
25,"(3, 0, 0, 1, 0, 0)",21701.377697966585
26,"(2, 0, 1, 1, 0, 0)",21715.363858290577
27,"(4, 0, 0, 0, 0, 1)",21730.17471290577
28,"(3, 0, 0, 0, 0, 1)",21733.23599408499
29,"(2, 0, 0, 1, 0, 0)",21741.395147789055
30,"(2, 0, 1, 0, 0, 1)",21745.69908410788
31,"(2, 0, 0, 0, 0, 1)",21770.999119272852
32,"(4, 0, 0, 0, 0, 0)",21861.43867661956
33,"(3, 0, 0, 0, 0, 0)",21864.578927548522
34,"(2, 0, 1, 0, 0, 0)",21874.23294741183
35,"(2, 0, 0, 0, 0, 0)",21897.44088387814
