,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",18326.275446403208
1,"(2, 0, 2, 1, 0, 1)",18328.378268527907
2,"(3, 0, 1, 1, 0, 1)",18329.238928181065
3,"(4, 0, 1, 1, 0, 1)",18329.27996397227
4,"(4, 0, 2, 1, 0, 1)",18329.32381851364
5,"(4, 0, 0, 1, 0, 1)",18337.17873935388
6,"(3, 0, 0, 1, 0, 1)",18339.10782651332
7,"(2, 0, 1, 1, 0, 1)",18341.13667368299
8,"(2, 0, 0, 1, 0, 1)",18345.90270111601
9,"(3, 0, 1, 1, 0, 0)",18680.662833803955
10,"(4, 0, 1, 1, 0, 0)",18681.75585682324
11,"(3, 0, 1, 0, 0, 1)",18693.58755132649
12,"(4, 0, 1, 0, 0, 1)",18694.07793232972
13,"(4, 0, 2, 0, 0, 1)",18695.28540080606
14,"(4, 0, 2, 1, 0, 0)",18784.97536416168
15,"(4, 0, 1, 0, 0, 0)",18801.497062523096
16,"(3, 0, 1, 0, 0, 0)",18806.640233762137
17,"(4, 0, 0, 1, 0, 0)",18809.68438951835
18,"(3, 0, 2, 1, 0, 0)",18810.70443235902
19,"(3, 0, 0, 1, 0, 0)",18812.062237978433
20,"(2, 0, 1, 1, 0, 0)",18814.678199260426
21,"(2, 0, 2, 1, 0, 0)",18816.717869323584
22,"(2, 0, 0, 1, 0, 0)",18821.944997601502
23,"(4, 0, 0, 0, 0, 1)",18828.895606816088
24,"(2, 0, 2, 0, 0, 1)",18828.983570010158
25,"(3, 0, 2, 0, 0, 1)",18831.04767431548
26,"(3, 0, 0, 0, 0, 1)",18831.489293960272
27,"(2, 0, 1, 0, 0, 1)",18834.2065903175
28,"(2, 0, 0, 0, 0, 1)",18841.689445090688
29,"(4, 0, 0, 0, 0, 0)",18935.905014790576
30,"(3, 0, 0, 0, 0, 0)",18938.466910596147
31,"(2, 0, 2, 0, 0, 0)",18941.003321865308
32,"(2, 0, 1, 0, 0, 0)",18941.58474714763
33,"(3, 0, 2, 0, 0, 0)",18943.002070440103
34,"(2, 0, 0, 0, 0, 0)",18950.919220684704
