,parameters,aic
0,"(4, 0, 1, 1, 0, 1)",28108.881966281962
1,"(3, 0, 1, 1, 0, 1)",28109.81350381823
2,"(4, 0, 0, 1, 0, 1)",28109.877202245872
3,"(4, 0, 2, 1, 0, 1)",28111.0300662947
4,"(3, 0, 0, 1, 0, 1)",28123.38594222347
5,"(3, 0, 2, 1, 0, 1)",28127.721444915773
6,"(2, 0, 2, 1, 0, 1)",28131.159186505018
7,"(2, 0, 1, 1, 0, 1)",28137.697476245325
8,"(2, 0, 0, 1, 0, 1)",28151.778344516846
9,"(4, 0, 1, 1, 0, 0)",29037.500452758475
10,"(2, 0, 2, 1, 0, 0)",29056.20251009546
11,"(3, 0, 2, 1, 0, 0)",29065.057362688753
12,"(3, 0, 1, 1, 0, 0)",29085.03829038743
13,"(4, 0, 2, 1, 0, 0)",29091.705171669262
14,"(4, 0, 1, 0, 0, 1)",29217.756267745648
15,"(2, 0, 2, 0, 0, 1)",29243.27678330188
16,"(3, 0, 2, 0, 0, 1)",29243.99215917624
17,"(3, 0, 1, 0, 0, 1)",29274.777101628224
18,"(4, 0, 2, 0, 0, 1)",29278.475696632944
19,"(4, 0, 0, 1, 0, 0)",29340.664240266895
20,"(3, 0, 0, 1, 0, 0)",29451.65133945426
21,"(4, 0, 0, 0, 0, 1)",29555.70228932108
22,"(2, 0, 1, 1, 0, 0)",29582.476460950216
23,"(2, 0, 0, 1, 0, 0)",29630.174398990606
24,"(3, 0, 2, 0, 0, 0)",29633.716369345133
25,"(2, 0, 2, 0, 0, 0)",29645.514051729875
26,"(3, 0, 1, 0, 0, 0)",29667.829345450198
27,"(4, 0, 2, 0, 0, 0)",29670.5025032065
28,"(3, 0, 0, 0, 0, 1)",29728.655760090012
29,"(4, 0, 1, 0, 0, 0)",29886.116861107865
30,"(2, 0, 1, 0, 0, 1)",29937.902875389405
31,"(4, 0, 0, 0, 0, 0)",29941.873145468067
32,"(2, 0, 0, 0, 0, 1)",30007.72672492594
33,"(3, 0, 0, 0, 0, 0)",30199.821893270007
34,"(2, 0, 1, 0, 0, 0)",30479.07590278742
35,"(2, 0, 0, 0, 0, 0)",30568.645119134297
