,parameters,aic
0,"(3, 0, 0, 1, 0, 1)",22888.90386002346
1,"(4, 0, 0, 1, 0, 1)",22889.83703860793
2,"(3, 0, 1, 1, 0, 1)",22889.855205563206
3,"(4, 0, 1, 1, 0, 1)",22892.28948838583
4,"(4, 0, 2, 1, 0, 1)",22895.422013085008
5,"(3, 0, 2, 1, 0, 1)",22899.58295088082
6,"(2, 0, 1, 1, 0, 1)",22900.23741262064
7,"(2, 0, 2, 1, 0, 1)",22901.02590129804
8,"(2, 0, 0, 1, 0, 1)",22930.889139355066
9,"(3, 0, 0, 1, 0, 0)",23706.583734985295
10,"(4, 0, 0, 1, 0, 0)",23707.730192020328
11,"(3, 0, 1, 1, 0, 0)",23707.958060926856
12,"(3, 0, 2, 1, 0, 0)",23709.531494386825
13,"(2, 0, 1, 1, 0, 0)",23709.631781367814
14,"(4, 0, 1, 1, 0, 0)",23710.1219029427
15,"(2, 0, 2, 1, 0, 0)",23711.09145658807
16,"(4, 0, 2, 1, 0, 0)",23711.827044797024
17,"(3, 0, 0, 0, 0, 1)",23724.910326669706
18,"(4, 0, 0, 0, 0, 1)",23725.407947573778
19,"(4, 0, 2, 0, 0, 1)",23725.579703880718
20,"(3, 0, 1, 0, 0, 1)",23725.861526509856
21,"(2, 0, 1, 0, 0, 1)",23726.029204508857
22,"(3, 0, 2, 0, 0, 1)",23727.500555366896
23,"(4, 0, 1, 0, 0, 1)",23728.100347020245
24,"(2, 0, 2, 0, 0, 1)",23728.91283899852
25,"(2, 0, 0, 1, 0, 0)",23738.95712427193
26,"(2, 0, 0, 0, 0, 1)",23753.05776672382
27,"(2, 0, 1, 0, 0, 0)",23804.34054839775
28,"(4, 0, 1, 0, 0, 0)",23804.54858968551
29,"(4, 0, 0, 0, 0, 0)",23804.80214318064
30,"(3, 0, 1, 0, 0, 0)",23806.264042179228
31,"(3, 0, 0, 0, 0, 0)",23806.493623902912
32,"(2, 0, 2, 0, 0, 0)",23807.924128470768
33,"(3, 0, 2, 0, 0, 0)",23808.323844098813
34,"(4, 0, 2, 0, 0, 0)",23810.227792444362
35,"(2, 0, 0, 0, 0, 0)",23823.412804613898
