,parameters,aic
0,"(2, 0, 2, 1, 0, 1)",13194.10834064753
1,"(3, 0, 2, 1, 0, 1)",13197.702799807703
2,"(4, 0, 2, 1, 0, 1)",13199.515139282683
3,"(4, 0, 1, 1, 0, 1)",13200.92966469022
4,"(2, 0, 1, 1, 0, 1)",13203.936922079143
5,"(3, 0, 1, 1, 0, 1)",13206.542266647266
6,"(3, 0, 0, 1, 0, 1)",13207.126199948938
7,"(4, 0, 0, 1, 0, 1)",13208.769572635541
8,"(2, 0, 0, 1, 0, 1)",13239.751349425913
9,"(2, 0, 2, 0, 0, 1)",13300.911870180145
10,"(2, 0, 2, 1, 0, 0)",13304.38415480397
11,"(3, 0, 2, 1, 0, 0)",13318.850448128887
12,"(3, 0, 2, 0, 0, 1)",13321.007780295991
13,"(2, 0, 2, 0, 0, 0)",13329.070499235337
14,"(3, 0, 2, 0, 0, 0)",13332.76497092726
15,"(4, 0, 2, 0, 0, 0)",13374.481354084572
16,"(3, 0, 0, 1, 0, 0)",13381.40295954003
17,"(3, 0, 1, 1, 0, 0)",13381.465939611475
18,"(4, 0, 0, 1, 0, 0)",13381.89429653583
19,"(3, 0, 0, 0, 0, 1)",13382.840977704902
20,"(3, 0, 1, 0, 0, 1)",13383.032369311357
21,"(4, 0, 0, 0, 0, 1)",13383.325772475293
22,"(4, 0, 1, 1, 0, 0)",13384.024349079535
23,"(4, 0, 2, 1, 0, 0)",13385.388422036482
24,"(4, 0, 1, 0, 0, 1)",13385.606010780679
25,"(4, 0, 2, 0, 0, 1)",13386.955365838832
26,"(2, 0, 1, 1, 0, 0)",13397.099858091367
27,"(2, 0, 1, 0, 0, 1)",13398.77943960123
28,"(3, 0, 1, 0, 0, 0)",13407.767003634388
29,"(3, 0, 0, 0, 0, 0)",13408.127338667024
30,"(4, 0, 0, 0, 0, 0)",13408.244777180154
31,"(4, 0, 1, 0, 0, 0)",13410.763454008013
32,"(2, 0, 1, 0, 0, 0)",13424.987762849401
33,"(2, 0, 0, 1, 0, 0)",13439.329773723697
34,"(2, 0, 0, 0, 0, 1)",13441.192962347835
35,"(2, 0, 0, 0, 0, 0)",13468.864878499588
