,parameters,aic
0,"(3, 0, 2, 1, 0, 1)",24778.85384670211
1,"(2, 0, 2, 1, 0, 1)",24779.446986526684
2,"(4, 0, 2, 1, 0, 1)",24785.474305325017
3,"(3, 0, 0, 1, 0, 1)",24798.55734593386
4,"(4, 0, 0, 1, 0, 1)",24800.95921808026
5,"(4, 0, 1, 1, 0, 1)",24802.490963790635
6,"(3, 0, 1, 1, 0, 1)",24803.550007129143
7,"(2, 0, 1, 1, 0, 1)",24804.513698088405
8,"(2, 0, 0, 1, 0, 1)",24819.221722885464
9,"(2, 0, 2, 1, 0, 0)",25039.766322312844
10,"(4, 0, 2, 1, 0, 0)",25045.77974894109
11,"(3, 0, 1, 1, 0, 0)",25050.63054189237
12,"(2, 0, 2, 0, 0, 1)",25053.995729536535
13,"(4, 0, 1, 0, 0, 1)",25056.543562827654
14,"(4, 0, 1, 1, 0, 0)",25059.882830426573
15,"(3, 0, 1, 0, 0, 1)",25062.26961068201
16,"(4, 0, 2, 0, 0, 1)",25062.90670602717
17,"(3, 0, 2, 0, 0, 1)",25093.88213872437
18,"(3, 0, 2, 1, 0, 0)",25105.12333346351
19,"(2, 0, 2, 0, 0, 0)",25146.694120567776
20,"(4, 0, 1, 0, 0, 0)",25147.912899914263
21,"(4, 0, 2, 0, 0, 0)",25148.25497644486
22,"(3, 0, 1, 0, 0, 0)",25155.12312960563
23,"(3, 0, 2, 0, 0, 0)",25184.676646466945
24,"(4, 0, 0, 1, 0, 0)",25378.67219856313
25,"(3, 0, 0, 1, 0, 0)",25392.029533570065
26,"(4, 0, 0, 0, 0, 1)",25397.464463750908
27,"(3, 0, 0, 0, 0, 1)",25410.00593480648
28,"(2, 0, 1, 1, 0, 0)",25452.821058181726
29,"(2, 0, 1, 0, 0, 1)",25469.81040735382
30,"(2, 0, 0, 1, 0, 0)",25475.98902507753
31,"(2, 0, 0, 0, 0, 1)",25493.85573198907
32,"(4, 0, 0, 0, 0, 0)",25497.734704020928
33,"(3, 0, 0, 0, 0, 0)",25507.493678383846
34,"(2, 0, 1, 0, 0, 0)",25561.74949987728
35,"(2, 0, 0, 0, 0, 0)",25588.620481123115
