sno,lasso,ridge,rf,arima,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,tot
1,0.062098439,0.063059334,0.063185561,0.100067428,0.2171625229013283,0.1587287660303362,0.10430661784241578,0.13555637817816252,1.0
2,0.122644412,0.123379627,0.126709628,0.187444796,0.2038295131650856,0.1977538201516483,0.17473763744627246,0.19476680921368325,1.0
3,0.120826529,0.121267424,0.123244974,0.17863724,0.21548574726066,0.23787425811433485,0.16542785863165388,0.19732351538322956,1.0
4,0.061611714,0.061633793,0.063088748,0.103494958,0.19363253662002905,0.16907815404662083,0.09975782741870028,0.13199390943415645,1.0
5,0.117147815,0.116672581,0.118542278,0.173842974,0.20800521675481357,0.22704335565358014,0.16414939707951753,0.19309104635742058,1.0
6,0.117670219,0.120336928,0.118267576,0.171129833,0.2107326327162265,0.22722601682126276,0.1653844232419235,0.19155645828349527,1.0
7,0.081063954,0.082582295,0.082610076,0.126707195,0.2358941596202321,0.19097873857385902,0.12003787616234995,0.1525051482510959,1.0
8,0.062850303,0.062323464,0.064241831,0.104797803,0.20294106520372132,0.18329033571273035,0.10427663717137105,0.14210854385227742,1.0
9,0.092135272,0.092632429,0.096285349,0.148068381,0.19730423475865763,0.1839073665393871,0.13760737583263458,0.16112867323377464,1.0
10,0.09921696,0.099000262,0.100826641,0.160537739,0.2413137462051598,0.25671992817578615,0.1578271867695952,0.2018421225603671,1.0
11,0.092871501,0.094225163,0.099145941,0.150235738,0.23032563174860077,0.21502053955543507,0.14773731455788267,0.18051834051196647,1.0
12,0.116977647,0.117117696,0.119862227,0.17121381,0.19715885100339603,0.19085594496063504,0.15691396641066363,0.17462952596221928,1.0
13,0.078707381,0.08086225,0.083686176,0.132144107,0.25717217214560517,0.28197183658072283,0.1456324776719282,0.20625654085745412,1.0
14,0.132617409,0.13099209,0.128539257,0.18859768,0.2427671439246639,0.2745249246329421,0.18079240466796523,0.2231510117606738,1.0
16,0.0806784,0.080396013,0.082282254,0.131951203,0.18554365391306382,0.1809609160171729,0.12650174173458698,0.15648965531013753,1.0
17,0.114281942,0.114040036,0.111595364,0.176511038,0.18658420664387868,0.18912857918228979,0.15069982472539278,0.17042376828540837,1.0
18,0.087766215,0.089819172,0.090003432,0.135812662,0.1577878120804118,0.14500551522474875,0.11899694570735131,0.13386472239601724,1.0
19,0.121412028,0.121676823,0.121907912,0.179902714,0.2132530772602331,0.1986372935565398,0.16808219807938737,0.17765057969467954,1.0
21,0.09347727,0.093332794,0.092923908,0.141982873,0.20039471255331998,0.19488488246642122,0.12886310694101727,0.15914327446324394,1.0
22,0.114340994,0.115326177,0.115395392,0.170170921,0.19268841950646853,0.17595495802822883,0.15545942718746378,0.16755399647051325,1.0
23,0.105341388,0.106918298,0.107644273,0.161542711,0.23495658778186107,0.2595547120051121,0.15448959195013628,0.2001628574410795,1.0
24,0.120195432,0.120217384,0.12369694,0.190208652,0.217933680157002,0.20629583581836455,0.16528026769929802,0.18615413071137119,1.0
25,0.134220254,0.134655685,0.132679956,0.183849309,0.22916236925065014,0.25063106413854225,0.17610235349140232,0.21192316743882791,1.0
26,0.131567437,0.131093649,0.129351655,0.221480368,0.21756360663955857,0.22595132625678793,0.12930189865318797,0.17345769575586586,1.0
