,model,name,sno,results,best_param,RMSE,time
3,Adaboost ,All_Feature,7,"[11.811477008366793, 6.980315448694706, 6.98735679640149]","{'learning_rate': 0.0004, 'loss': 'square', 'n_estimators': 40}",6.5281752660187555,58.65521574020386
4,XGBoost,All_Feature,7,"[7.952632089534705, 7.439324641444388, 7.404954950738919]","{'booster': 'gblinear', 'eta': 8e-20, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 195}",6.872344276913947,29.261425256729126
0,Lasso ,All_Feature,8,"[3.723076078881783, 3.7376775016579806, 3.9236628277949355]",{'alpha': 0.024},3.711960786572371,1.7819433212280273
1,Ridge ,All_Feature,8,"[3.6142611427681817, 3.581118005022135, 3.6446413869476317]",{'alpha': 20.0},3.5753530347268234,10.20208191871643
2,Random Forest ,All_Feature,8,"[3.7855417783469245, 3.6873512280962486, 3.6936292781183924]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 11, 'n_estimators': 55}",3.702848766173803,118.69004583358765
3,Adaboost ,All_Feature,8,"[5.785766030478101, 3.643482738683864, 3.6411860150780537]","{'learning_rate': 5e-05, 'loss': 'square', 'n_estimators': 195}",3.583379578225808,108.29903602600098
4,XGBoost,All_Feature,8,"[4.133704412026014, 3.9326869144105636, 3.901325252640373]","{'booster': 'gblinear', 'eta': 6.0000000000000004e-18, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 195}",3.9328023352800656,28.871795892715454
0,Lasso ,All_Feature,9,"[3.725058553896535, 3.728279880038862, 4.062065108973174]",{'alpha': 0.014000000000000002},3.686438589959413,1.754159927368164
1,Ridge ,All_Feature,9,"[3.6775179919210066, 3.6753661114932026, 3.687559558112966]",{'alpha': 8.0},3.613586602762718,10.223808765411377
2,Random Forest ,All_Feature,9,"[3.8754473623953043, 3.8493408141210583, 3.8335622747421447]","{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 75}",3.745724535604341,131.62148714065552
3,Adaboost ,All_Feature,9,"[4.829763382451198, 3.69018957856279, 3.69018957856279]","{'learning_rate': 0.0001, 'loss': 'square', 'n_estimators': 160}",3.6288788758136903,98.10835528373718
4,XGBoost,All_Feature,9,"[4.393104350415155, 3.9861904791639295, 3.989453734147492]","{'booster': 'gblinear', 'eta': 5e-18, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 185}",3.9176500906845053,29.23143744468689
0,Lasso ,All_Feature,10,"[5.49262951108075, 5.493035122267843, 5.795646375506593]",{'alpha': 0.008},5.3505687532712045,1.7118167877197266
1,Ridge ,All_Feature,10,"[5.426789541218357, 5.426789541218357, 5.42380947782039]",{'alpha': 10.0},5.268115918832999,10.06842851638794
2,Random Forest ,All_Feature,10,"[5.8566378460156345, 5.605008407618411, 5.600394053821681]","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 100}",5.267144623867315,136.54782366752625
3,Adaboost ,All_Feature,10,"[6.388716862801828, 5.424466155493343, 5.424466155493343]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 100}",5.264809566682684,74.33902621269226
4,XGBoost,All_Feature,10,"[6.857652260889169, 5.8821110514072785, 5.762785461710211]","{'booster': 'gblinear', 'eta': 7e-18, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 190}",5.661742596226192,29.017191410064697
