,model,name,sno,results,best_param,RMSE,time
3,Adaboost ,All_Feature,57,"[6.048872591603994, 4.677723713999226, 4.679232488112199]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 175}",4.275749065961021,103.65204691886902
4,XGBoost,All_Feature,57,"[4.8644239692041005, 4.762493404897147, 4.768633802223114]","{'booster': 'gblinear', 'eta': 6.000000000000001e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 180}",4.265427599783634,28.055002689361572
0,Lasso ,All_Feature,59,"[3.838895285933313, 3.844134878437304, 3.894925283833515]",{'alpha': 0.0032000000000000006},3.7186562100127074,1.8520102500915527
1,Ridge ,All_Feature,59,"[3.808821059370356, 3.813896987998941, 3.8175813635863594]",{'alpha': 30.0},3.6834287978011737,10.56571340560913
2,Random Forest ,All_Feature,59,"[3.9499253337357163, 3.8690850156319314, 3.8686272262067902]","{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 60}",3.8024760560844038,110.58544707298279
3,Adaboost ,All_Feature,59,"[4.621076781101322, 3.8287805796459127, 3.828345851210563]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 50}",3.699762991443597,52.2901713848114
4,XGBoost,All_Feature,59,"[4.373454935744213, 3.922734750062432, 3.9090731057348638]","{'booster': 'gblinear', 'eta': 8e-17, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 195}",3.788133465128858,28.710718393325806
0,Lasso ,All_Feature,60,"[3.5188219054929677, 3.5213149881348778, 3.7119934674461623]",{'alpha': 0.005400000000000001},3.5339087782641445,1.8300743103027344
1,Ridge ,All_Feature,60,"[3.524807125637238, 3.527459209894369, 3.5318120582897987]",{'alpha': 23.0},3.5415722940866905,10.525828838348389
2,Random Forest ,All_Feature,60,"[3.5702705497116276, 3.5741336397891, 3.572679225127347]","{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 30}",3.5776066948695564,104.40104818344116
3,Adaboost ,All_Feature,60,"[4.324163257122064, 3.5396590980780216, 3.5396590980780216]","{'learning_rate': 1e-06, 'loss': 'square', 'n_estimators': 40}",3.5566883629081145,52.56952953338623
4,XGBoost,All_Feature,60,"[3.9538458195071673, 3.719768438479012, 3.714010064788013]","{'booster': 'gblinear', 'eta': 4e-15, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 145}",3.663184509125481,27.520387411117554
0,Lasso ,All_Feature,61,"[9.714457013738809, 9.679218758240694, 10.579286137645273]",{'alpha': 0.054},8.990242856593168,1.7851948738098145
1,Ridge ,All_Feature,61,"[9.770048028845531, 9.771266064359608, 9.763998588595836]",{'alpha': 9.0},9.044264406918108,10.513858556747437
2,Random Forest ,All_Feature,61,"[9.56642016673256, 9.58555358156933, 9.57599867147599]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 70}",9.19793857463893,128.22345972061157
3,Adaboost ,All_Feature,61,"[15.609962648447265, 9.74834781903594, 9.751018834055241]","{'learning_rate': 3.0000000000000004e-05, 'loss': 'square', 'n_estimators': 10}",9.085464674196169,43.934590339660645
4,XGBoost,All_Feature,61,"[9.859623545758891, 10.47584743373267, 10.469122094297285]","{'booster': 'gblinear', 'eta': 6.999999999999999e-19, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 85}",9.705651280647054,27.04469633102417
0,Lasso ,All_Feature,62,"[4.73542722580868, 4.727420252737097, 4.860431893441744]",{'alpha': 0.033},4.564187393250584,1.803180456161499
1,Ridge ,All_Feature,62,"[4.807183848036196, 4.798963132614238, 4.828146937148742]",{'alpha': 30.0},4.646273523702858,10.584670305252075
2,Random Forest ,All_Feature,62,"[4.781566059706956, 4.734386922952037, 4.744071275691484]","{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 145}",4.6583707660467155,145.50492477416992
3,Adaboost ,All_Feature,62,"[5.396737155146581, 4.84351258619355, 4.833394713447648]","{'learning_rate': 1e-06, 'loss': 'square', 'n_estimators': 25}",4.711417433356358,51.64541459083557
4,XGBoost,All_Feature,62,"[5.227573766864974, 4.951186596214661, 4.964728944258201]","{'booster': 'gblinear', 'eta': 6.999999999999999e-16, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 150}",4.674613541578667,28.1357421875
0,Lasso ,All_Feature,63,"[4.433304064709381, 4.410942786518679, 4.691238865899049]",{'alpha': 0.038},4.26753987739063,1.7563059329986572
1,Ridge ,All_Feature,63,"[4.403542787627857, 4.400069797855057, 4.413908472936034]",{'alpha': 7.0},4.263400841700964,10.4959397315979
2,Random Forest ,All_Feature,63,"[4.444617039424607, 4.515790723203028, 4.511338893721691]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 50}",4.250142366394247,116.90546917915344
3,Adaboost ,All_Feature,63,"[5.099500953514657, 4.422600651687791, 4.430912020050142]","{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 135}",4.324809346988834,78.53999376296997
4,XGBoost,All_Feature,63,"[4.865116714215467, 4.616652813325584, 4.597441042622276]","{'booster': 'gblinear', 'eta': 4e-20, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",4.483659374353187,29.013396978378296
0,Lasso ,All_Feature,64,"[5.137186987739892, 5.142241212492386, 5.820938303161699]",{'alpha': 0.028},4.9828688115253,1.7911698818206787
1,Ridge ,All_Feature,64,"[5.14310883342495, 5.1367605294005845, 5.152135434768592]",{'alpha': 5.0},5.001282459447124,10.535802602767944
2,Random Forest ,All_Feature,64,"[5.283306297074912, 5.152802519753882, 5.1611317371013525]","{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 175}",4.927854836724707,143.87337398529053
3,Adaboost ,All_Feature,64,"[6.713741650029396, 5.174408846412023, 5.183257795153365]","{'learning_rate': 0.0005, 'loss': 'square', 'n_estimators': 20}",5.0374414726606185,51.51752734184265
4,XGBoost,All_Feature,64,"[5.561600715033737, 5.709026477506233, 5.762966302488927]","{'booster': 'gblinear', 'eta': 6.999999999999999e-20, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 160}",5.434305859866261,28.984472513198853
0,Lasso ,All_Feature,65,"[4.312720876268164, 4.270949195180618, 4.544369764649115]",{'alpha': 0.035},4.473511617259341,1.7493655681610107
1,Ridge ,All_Feature,65,"[4.233714543109468, 4.2337145430748375, 4.234393317710997]",{'alpha': 9.9e-08},4.424522566958004,10.504879236221313
2,Random Forest ,All_Feature,65,"[4.09498873967316, 4.059076477575852, 4.060758875201482]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 195}",4.304017423855881,136.55398154258728
3,Adaboost ,All_Feature,65,"[5.055695102366487, 4.246214662842714, 4.247994958221678]","{'learning_rate': 0.005, 'loss': 'square', 'n_estimators': 20}",4.432106925315513,42.993025064468384
4,XGBoost,All_Feature,65,"[4.660153193275368, 4.540019236492993, 4.545455172720599]","{'booster': 'gblinear', 'eta': 1e-16, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 140}",4.674818776012631,27.97218155860901
0,Lasso ,All_Feature,66,"[4.281850361382576, 4.283518854838352, 4.661171924575185]",{'alpha': 0.013000000000000001},4.083616133845699,1.9348258972167969
1,Ridge ,All_Feature,66,"[4.1759849663062, 4.1835940693802804, 4.1835940693802804]",{'alpha': 9.9},4.014250193808944,10.894871950149536
2,Random Forest ,All_Feature,66,"[4.524488851025862, 4.480884614782237, 4.494283259828715]","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 105}",4.149200333577367,123.1190414428711
3,Adaboost ,All_Feature,66,"[5.143737639978492, 4.184105990382062, 4.184299677370313]","{'learning_rate': 7e-06, 'loss': 'square', 'n_estimators': 40}",4.021308519157805,51.69978404045105
4,XGBoost,All_Feature,66,"[4.857939863379838, 4.564842526852439, 4.553450480482648]","{'booster': 'gblinear', 'eta': 4e-20, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 195}",4.323063918405761,28.608518600463867
0,Lasso ,All_Feature,67,"[5.778050166778201, 5.842811000571968, 5.850905960361485]",{'alpha': 0.05},5.6753891274117345,1.784200668334961
