station,1,2,3,4,5
144.0,11.0,35.0,23.0,15.0,27.0
145.0,11.0,7.0,27.0,23.0,3.0
146.0,11.0,31.0,35.0,23.0,19.0
147.0,23.0,27.0,15.0,31.0,11.0
148.0,15.0,11.0,19.0,27.0,23.0
149.0,27.0,31.0,3.0,19.0,7.0
150.0,11.0,35.0,31.0,23.0,7.0
151.0,15.0,27.0,11.0,23.0,31.0
152.0,23.0,11.0,3.0,15.0,27.0
154.0,11.0,7.0,15.0,27.0,23.0
155.0,35.0,19.0,15.0,7.0,3.0
156.0,35.0,7.0,15.0,27.0,23.0
157.0,11.0,23.0,15.0,7.0,27.0
158.0,35.0,27.0,31.0,11.0,7.0
159.0,11.0,15.0,7.0,27.0,19.0
161.0,7.0,19.0,27.0,31.0,23.0
162.0,35.0,31.0,23.0,11.0,27.0
163.0,31.0,35.0,27.0,7.0,11.0
164.0,27.0,23.0,31.0,15.0,3.0
165.0,23.0,11.0,31.0,35.0,15.0
166.0,23.0,11.0,15.0,27.0,7.0
167.0,11.0,35.0,23.0,7.0,15.0
168.0,35.0,27.0,31.0,19.0,7.0
169.0,31.0,27.0,3.0,19.0,23.0
170.0,27.0,31.0,7.0,15.0,23.0
171.0,7.0,27.0,15.0,11.0,31.0
172.0,23.0,11.0,19.0,27.0,31.0
173.0,11.0,15.0,27.0,7.0,35.0
175.0,23.0,11.0,27.0,15.0,7.0
176.0,11.0,27.0,7.0,19.0,15.0
177.0,15.0,27.0,19.0,31.0,11.0
178.0,15.0,27.0,31.0,7.0,11.0
179.0,31.0,27.0,7.0,11.0,15.0
180.0,11.0,23.0,35.0,19.0,31.0
181.0,35.0,27.0,31.0,23.0,19.0
182.0,31.0,19.0,11.0,27.0,15.0
183.0,23.0,15.0,27.0,31.0,11.0
184.0,27.0,19.0,15.0,11.0,35.0
186.0,19.0,35.0,31.0,23.0,7.0
187.0,23.0,11.0,35.0,31.0,19.0
188.0,19.0,35.0,27.0,15.0,7.0
189.0,15.0,27.0,35.0,31.0,19.0
190.0,11.0,23.0,31.0,19.0,35.0
191.0,11.0,23.0,19.0,31.0,27.0
192.0,11.0,23.0,35.0,19.0,31.0
193.0,11.0,3.0,15.0,27.0,7.0
194.0,11.0,23.0,15.0,27.0,19.0
195.0,35.0,31.0,3.0,7.0,15.0
196.0,23.0,11.0,15.0,19.0,27.0
197.0,15.0,27.0,23.0,31.0,11.0
201.0,11.0,7.0,35.0,27.0,15.0
202.0,11.0,35.0,23.0,19.0,31.0
203.0,15.0,27.0,11.0,7.0,31.0
204.0,34.0,15.0,7.0,27.0,11.0
205.0,11.0,23.0,15.0,27.0,7.0
206.0,7.0,23.0,11.0,15.0,27.0
207.0,19.0,31.0,23.0,35.0,15.0
208.0,31.0,7.0,27.0,35.0,11.0
209.0,15.0,7.0,11.0,27.0,19.0
210.0,15.0,7.0,27.0,19.0,31.0
211.0,11.0,23.0,7.0,15.0,19.0
212.0,11.0,35.0,23.0,31.0,19.0
213.0,11.0,35.0,23.0,19.0,27.0
214.0,23.0,11.0,35.0,15.0,19.0
215.0,35.0,7.0,23.0,11.0,15.0
216.0,15.0,7.0,27.0,11.0,19.0
217.0,23.0,19.0,31.0,15.0,7.0
218.0,27.0,7.0,19.0,31.0,15.0
219.0,35.0,31.0,11.0,7.0,15.0
220.0,32.0,23.0,11.0,27.0,15.0
221.0,7.0,27.0,23.0,15.0,3.0
222.0,11.0,23.0,15.0,27.0,7.0
223.0,11.0,35.0,15.0,27.0,19.0
224.0,15.0,19.0,27.0,31.0,35.0
225.0,15.0,27.0,19.0,31.0,11.0
226.0,11.0,27.0,7.0,31.0,19.0
227.0,23.0,11.0,27.0,15.0,19.0
228.0,11.0,23.0,7.0,15.0,27.0
230.0,27.0,19.0,11.0,23.0,7.0
231.0,7.0,23.0,15.0,27.0,31.0
232.0,11.0,23.0,15.0,19.0,35.0
233.0,23.0,11.0,15.0,7.0,27.0
234.0,11.0,23.0,7.0,15.0,27.0
235.0,27.0,7.0,23.0,15.0,31.0
236.0,7.0,27.0,23.0,15.0,31.0
238.0,11.0,19.0,35.0,31.0,23.0
241.0,23.0,15.0,27.0,31.0,7.0
242.0,19.0,31.0,35.0,27.0,23.0
243.0,19.0,31.0,27.0,15.0,35.0
244.0,11.0,23.0,35.0,19.0,31.0
245.0,11.0,23.0,19.0,31.0,35.0
246.0,11.0,23.0,35.0,7.0,31.0
247.0,11.0,7.0,15.0,27.0,35.0
248.0,27.0,15.0,3.0,31.0,11.0
249.0,11.0,19.0,35.0,15.0,31.0
250.0,11.0,19.0,15.0,35.0,31.0
251.0,11.0,15.0,7.0,27.0,3.0
252.0,31.0,11.0,35.0,27.0,15.0
253.0,11.0,7.0,19.0,31.0,15.0
254.0,31.0,35.0,23.0,11.0,19.0
255.0,11.0,35.0,23.0,19.0,31.0
256.0,11.0,23.0,19.0,35.0,7.0
257.0,34.0,7.0,15.0,27.0,31.0
258.0,11.0,7.0,27.0,31.0,19.0
259.0,11.0,23.0,19.0,35.0,31.0
260.0,19.0,31.0,11.0,35.0,23.0
261.0,31.0,27.0,7.0,19.0,11.0
262.0,7.0,15.0,27.0,23.0,11.0
263.0,11.0,35.0,23.0,15.0,7.0
264.0,11.0,35.0,15.0,7.0,23.0
265.0,23.0,11.0,19.0,31.0,35.0
266.0,35.0,23.0,27.0,15.0,7.0
267.0,11.0,23.0,15.0,19.0,27.0
268.0,11.0,15.0,23.0,19.0,27.0
269.0,11.0,23.0,19.0,31.0,27.0
270.0,15.0,27.0,7.0,3.0,23.0
271.0,23.0,11.0,15.0,27.0,19.0
272.0,15.0,27.0,23.0,19.0,31.0
273.0,23.0,27.0,3.0,15.0,11.0
274.0,11.0,19.0,35.0,23.0,15.0
275.0,15.0,11.0,19.0,27.0,7.0
276.0,15.0,27.0,23.0,19.0,11.0
277.0,23.0,31.0,27.0,19.0,15.0
278.0,31.0,7.0,27.0,19.0,15.0
279.0,35.0,27.0,15.0,11.0,31.0
280.0,20.0,27.0,19.0,15.0,7.0
281.0,23.0,31.0,19.0,15.0,27.0
282.0,23.0,11.0,31.0,35.0,19.0
283.0,15.0,7.0,11.0,23.0,19.0
284.0,23.0,11.0,7.0,19.0,27.0
285.0,11.0,3.0,15.0,19.0,31.0
286.0,11.0,23.0,35.0,15.0,7.0
287.0,11.0,19.0,35.0,7.0,27.0
288.0,23.0,15.0,27.0,19.0,11.0
289.0,35.0,23.0,31.0,15.0,11.0
290.0,23.0,11.0,15.0,27.0,7.0
291.0,23.0,35.0,19.0,31.0,11.0
292.0,15.0,27.0,19.0,23.0,31.0
293.0,11.0,23.0,27.0,19.0,31.0
294.0,31.0,27.0,7.0,19.0,35.0
295.0,15.0,31.0,27.0,11.0,19.0
296.0,23.0,11.0,35.0,15.0,27.0
297.0,15.0,27.0,31.0,23.0,7.0
298.0,35.0,11.0,23.0,27.0,15.0
299.0,23.0,15.0,27.0,19.0,7.0
300.0,23.0,11.0,31.0,15.0,27.0
301.0,23.0,11.0,35.0,31.0,15.0
302.0,19.0,31.0,27.0,23.0,35.0
303.0,11.0,23.0,7.0,15.0,19.0
304.0,23.0,15.0,3.0,7.0,27.0
305.0,31.0,15.0,27.0,19.0,7.0
307.0,23.0,11.0,31.0,35.0,19.0
308.0,23.0,31.0,27.0,15.0,35.0
309.0,27.0,15.0,11.0,19.0,31.0
310.0,7.0,15.0,27.0,19.0,11.0
312.0,35.0,23.0,7.0,15.0,11.0
