,0
267,409.2314898967743
268,352.1077530384064
269,427.4680254459381
270,416.220023393631
271,474.7116334438324
272,377.68601059913635
273,400.6789481639862
274,463.16747069358826
275,391.81494212150574
276,347.9920172691345
277,495.52670979499817
278,397.5653100013733
279,400.7632875442505
280,502.6747887134552
281,438.0050308704376
282,448.9719593524933
283,398.9028434753418
284,384.6340277194977
285,440.1299955844879
286,380.22899746894836
287,373.8413734436035
288,367.66609048843384
289,522.5719077587128
290,416.7990231513977
291,421.02604269981384
292,450.9728946685791
293,476.27196168899536
294,464.0168921947479
295,469.4930033683777
296,445.4679799079895
297,323.8312301635742
298,474.2336802482605
299,365.087064743042
300,430.73042345046997
301,478.1649465560913
302,397.409029006958
303,332.71492743492126
304,505.56156849861145
305,332.57837748527527
307,391.80387592315674
308,493.9859175682068
309,366.16500449180603
310,428.12202501296997
312,421.34547567367554
314,451.6729049682617
315,404.47487354278564
316,439.9889008998871
317,358.9380991458893
318,467.7998206615448
319,413.56089305877686
320,405.9599778652191
321,370.3142120838165
322,442.6939203739166
323,442.3098337650299
324,471.9518549442291
325,435.833984375
326,458.27190494537354
327,466.4449841976166
328,431.5420620441437
329,415.7388405799866
330,432.74895453453064
331,437.5619533061981
332,498.2900140285492
333,408.50791239738464
334,452.9829452037811
335,337.613924741745
336,399.64300298690796
337,434.1480417251587
338,414.00497126579285
339,369.293892621994
340,445.71504950523376
341,399.1927332878113
342,368.9439332485199
343,442.70390367507935
344,392.1014087200165
345,351.24652194976807
346,457.17640590667725
347,450.54870080947876
348,466.97975516319275
349,378.7149381637573
350,415.71706342697144
351,458.6980323791504
352,321.7220776081085
353,366.32382917404175
354,405.2730143070221
355,461.38085293769836
356,415.93635082244873
357,528.1123719215393
358,462.59902238845825
359,330.64292001724243
360,476.99407291412354
361,480.46533846855164
362,422.6950042247772
363,463.39806270599365
364,359.32711911201477
365,378.88916516304016
366,350.7356255054474
367,395.9781665802002
368,430.0060667991638
369,377.256028175354
370,354.1619231700897
371,364.5020954608917
372,419.40154004096985
373,425.0693299770355
374,404.05793619155884
375,396.62039518356323
376,427.12837529182434
377,447.31298327445984
379,452.1249487400055
380,354.6795392036438
381,419.7482385635376
384,472.5038297176361
385,356.36195826530457
386,447.38925790786743
388,429.68866324424744
389,456.8142161369324
390,366.8549635410309
391,468.6751594543457
392,384.2906415462494
393,397.4281871318817
394,430.5760250091553
395,514.1718139648438
396,365.75744700431824
397,402.796537399292
398,452.85758090019226
399,417.33763694763184
400,423.2566063404083
401,452.0704550743103
402,363.2483322620392
403,552.1211361885071
404,459.02951216697693
