,parameters,aic
106,"(3, 0, 2, 2, 0, 2)",37820.044986070934
107,"(4, 1, 2, 1, 0, 2)",37821.121951026755
108,"(3, 0, 0, 2, 0, 2)",37821.9681713569
109,"(4, 0, 2, 2, 0, 2)",37823.066936648276
110,"(3, 1, 2, 1, 0, 2)",37824.732440557345
111,"(4, 0, 1, 2, 0, 2)",37824.90103398345
112,"(2, 1, 1, 2, 0, 2)",37825.74586390033
113,"(2, 0, 0, 1, 0, 2)",37825.96384084669
114,"(2, 0, 0, 2, 0, 1)",37827.438185169754
115,"(2, 0, 0, 2, 0, 2)",37827.52800194004
116,"(3, 1, 2, 2, 0, 1)",37837.38738472937
117,"(4, 1, 2, 2, 0, 2)",37842.1418926621
118,"(4, 0, 0, 1, 0, 1)",37847.25978850732
119,"(3, 1, 2, 2, 0, 2)",37848.601402883076
120,"(4, 0, 1, 1, 0, 1)",37848.605467794994
121,"(4, 0, 2, 1, 0, 1)",37851.95840620666
122,"(3, 0, 2, 1, 0, 1)",37851.983153095876
123,"(2, 0, 2, 1, 0, 1)",37856.11307638115
124,"(4, 1, 2, 1, 0, 1)",37856.5433561833
125,"(4, 1, 0, 0, 1, 2)",37856.669304297844
126,"(3, 0, 1, 1, 0, 1)",37856.71699627334
127,"(2, 0, 1, 1, 0, 1)",37857.38559147732
128,"(4, 1, 0, 1, 1, 1)",37857.81167984136
129,"(4, 1, 0, 2, 1, 1)",37858.192186280496
130,"(4, 1, 0, 1, 1, 2)",37858.28615636184
131,"(4, 1, 0, 2, 1, 2)",37859.61288963381
132,"(2, 1, 0, 0, 1, 2)",37860.196271880195
133,"(2, 1, 1, 0, 1, 2)",37860.86859527751
134,"(2, 1, 0, 1, 1, 1)",37861.509989344435
135,"(2, 1, 0, 2, 1, 1)",37861.51808200623
136,"(2, 1, 0, 1, 1, 2)",37861.58770421192
137,"(3, 1, 0, 0, 1, 2)",37861.60566770839
138,"(2, 1, 1, 1, 1, 1)",37862.08363009703
139,"(2, 1, 1, 2, 1, 1)",37862.276754568724
140,"(2, 1, 1, 1, 1, 2)",37862.35349960142
141,"(3, 1, 1, 0, 1, 2)",37862.505267280285
142,"(3, 1, 0, 1, 1, 1)",37862.87331068303
143,"(2, 1, 0, 2, 1, 2)",37862.930402696125
